"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BELLAVISTA (000)",19097,901,29,10257,5838,552,868,206,446
"Empleado (001)",1757,9,,154,417,169,594,98,316
"Obrero (002)",3613,168,6,2027,1276,75,36,14,11
"Trabajador independiente (003)",9858,475,8,5767,2999,240,192,79,98
"Empleador o patrono (004)",416,9,,205,147,20,17,8,10
"Trabajador familiar no remunerado (005)",3041,212,14,1887,845,44,22,7,10
"Trabajador del hogar (006)",412,28,1,217,154,4,7,,1
"Hombres (008)",14655,527,22,8095,4671,396,522,143,279
"Empleado (009)",982,3,,69,266,89,319,53,183
"Obrero (010)",3092,104,5,1698,1159,66,36,13,11
"Trabajador independiente (011)",8348,344,8,4996,2517,199,142,69,73
"Empleador o patrono (012)",357,8,,176,129,16,14,6,8
"Trabajador familiar no remunerado (013)",1853,66,9,1145,591,26,10,2,4
"Trabajador del hogar (014)",23,2,,11,9,,1,,
"Mujeres (016)",4442,374,7,2162,1167,156,346,63,167
"Empleado (017)",775,6,,85,151,80,275,45,133
"Obrero (018)",521,64,1,329,117,9,,1,
"Trabajador independiente (019)",1510,131,,771,482,41,50,10,25
"Empleador o patrono (020)",59,1,,29,18,4,3,2,2
"Trabajador familiar no remunerado (021)",1188,146,5,742,254,18,12,5,6
"Trabajador del hogar (022)",389,26,1,206,145,4,6,,1
,,,,,,,,,
"URBANA (024)",10841,315,15,4705,3982,483,757,180,404
"Empleado (025)",1532,6,,104,380,153,510,91,288
"Obrero (026)",2187,79,4,1100,889,62,32,11,10
"Trabajador independiente (027)",5079,143,4,2440,1949,211,176,68,88
"Empleador o patrono (028)",280,5,,115,113,18,15,7,7
"Trabajador familiar no remunerado (029)",1436,66,7,787,510,35,18,3,10
"Trabajador del hogar (030)",327,16,,159,141,4,6,,1
"Hombres (032)",7790,159,13,3388,3056,343,456,123,252
"Empleado (033)",889,3,,61,251,83,275,49,167
"Obrero (034)",1862,53,4,893,805,55,32,10,10
"Trabajador independiente (035)",4050,90,4,1973,1557,173,129,59,65
"Empleador o patrono (036)",228,4,,89,98,14,12,5,6
"Trabajador familiar no remunerado (037)",742,7,5,365,336,18,7,,4
"Trabajador del hogar (038)",19,2,,7,9,,1,,
"Mujeres (040)",3051,156,2,1317,926,140,301,57,152
"Empleado (041)",643,3,,43,129,70,235,42,121
"Obrero (042)",325,26,,207,84,7,,1,
"Trabajador independiente (043)",1029,53,,467,392,38,47,9,23
"Empleador o patrono (044)",52,1,,26,15,4,3,2,1
"Trabajador familiar no remunerado (045)",694,59,2,422,174,17,11,3,6
"Trabajador del hogar (046)",308,14,,152,132,4,5,,1
,,,,,,,,,
"RURAL (048)",8256,586,14,5552,1856,69,111,26,42
"Empleado (049)",225,3,,50,37,16,84,7,28
"Obrero (050)",1426,89,2,927,387,13,4,3,1
"Trabajador independiente (051)",4779,332,4,3327,1050,29,16,11,10
"Empleador o patrono (052)",136,4,,90,34,2,2,1,3
"Trabajador familiar no remunerado (053)",1605,146,7,1100,335,9,4,4,
"Trabajador del hogar (054)",85,12,1,58,13,,1,,
"Hombres (056)",6865,368,9,4707,1615,53,66,20,27
"Empleado (057)",93,,,8,15,6,44,4,16
"Obrero (058)",1230,51,1,805,354,11,4,3,1
"Trabajador independiente (059)",4298,254,4,3023,960,26,13,10,8
"Empleador o patrono (060)",129,4,,87,31,2,2,1,2
"Trabajador familiar no remunerado (061)",1111,59,4,780,255,8,3,2,
"Trabajador del hogar (062)",4,,,4,,,,,
"Mujeres (064)",1391,218,5,845,241,16,45,6,15
"Empleado (065)",132,3,,42,22,10,40,3,12
"Obrero (066)",196,38,1,122,33,2,,,
"Trabajador independiente (067)",481,78,,304,90,3,3,1,2
"Empleador o patrono (068)",7,,,3,3,,,,1
"Trabajador familiar no remunerado (069)",494,87,3,320,80,1,1,2,
"Trabajador del hogar (070)",81,12,1,54,13,,1,,
