"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CHOTA (000)",45233,5482,8393,23155,585,6958,660
"Conviviente (001)",14226,1365,2661,8439,202,1470,89
"Separado(a) (002)",1073,162,157,603,12,88,51
"Casado(a) (003)",16719,2416,3034,9408,252,1528,81
"Viudo(a) (004)",1175,48,169,791,18,130,19
"Divorciado(a) (005)",117,30,11,66,,6,4
"Soltero(a) (006)",11923,1461,2361,3848,101,3736,416
"Hombres (008)",35611,3332,7658,19337,511,4738,35
"Conviviente (009)",11781,900,2442,7462,184,787,6
"Separado(a) (010)",383,44,92,218,7,21,1
"Casado(a) (011)",13717,1596,2817,8310,229,758,7
"Viudo(a) (012)",664,12,119,468,10,55,
"Divorciado(a) (013)",60,10,10,40,,,
"Soltero(a) (014)",9006,770,2178,2839,81,3117,21
"Mujeres (016)",9622,2150,735,3818,74,2220,625
"Conviviente (017)",2445,465,219,977,18,683,83
"Separado(a) (018)",690,118,65,385,5,67,50
"Casado(a) (019)",3002,820,217,1098,23,770,74
"Viudo(a) (020)",511,36,50,323,8,75,19
"Divorciado(a) (021)",57,20,1,26,,6,4
"Soltero(a) (022)",2917,691,183,1009,20,619,395
,,,,,,,
"URBANA (024)",11547,4170,1264,4770,196,775,372
"Conviviente (025)",3088,1003,414,1404,54,168,45
"Separado(a) (026)",389,135,31,174,4,17,28
"Casado(a) (027)",4868,1957,454,2026,91,302,38
"Viudo(a) (028)",250,37,15,165,8,18,7
"Divorciado(a) (029)",58,29,1,25,,1,2
"Soltero(a) (030)",2894,1009,349,976,39,269,252
"Hombres (032)",7456,2409,1113,3379,143,391,21
"Conviviente (033)",2196,646,369,1074,42,62,3
"Separado(a) (034)",115,35,18,58,1,3,
"Casado(a) (035)",3309,1233,406,1492,71,102,5
"Viudo(a) (036)",91,11,9,62,4,5,
"Divorciado(a) (037)",19,9,,10,,,
"Soltero(a) (038)",1726,475,311,683,25,219,13
"Mujeres (040)",4091,1761,151,1391,53,384,351
"Conviviente (041)",892,357,45,330,12,106,42
"Separado(a) (042)",274,100,13,116,3,14,28
"Casado(a) (043)",1559,724,48,534,20,200,33
"Viudo(a) (044)",159,26,6,103,4,13,7
"Divorciado(a) (045)",39,20,1,15,,1,2
"Soltero(a) (046)",1168,534,38,293,14,50,239
,,,,,,,
"RURAL (048)",33686,1312,7129,18385,389,6183,288
"Conviviente (049)",11138,362,2247,7035,148,1302,44
"Separado(a) (050)",684,27,126,429,8,71,23
"Casado(a) (051)",11851,459,2580,7382,161,1226,43
"Viudo(a) (052)",925,11,154,626,10,112,12
"Divorciado(a) (053)",59,1,10,41,,5,2
"Soltero(a) (054)",9029,452,2012,2872,62,3467,164
"Hombres (056)",28155,923,6545,15958,368,4347,14
"Conviviente (057)",9585,254,2073,6388,142,725,3
"Separado(a) (058)",268,9,74,160,6,18,1
"Casado(a) (059)",10408,363,2411,6818,158,656,2
"Viudo(a) (060)",573,1,110,406,6,50,
"Divorciado(a) (061)",41,1,10,30,,,
"Soltero(a) (062)",7280,295,1867,2156,56,2898,8
"Mujeres (064)",5531,389,584,2427,21,1836,274
"Conviviente (065)",1553,108,174,647,6,577,41
"Separado(a) (066)",416,18,52,269,2,53,22
"Casado(a) (067)",1443,96,169,564,3,570,41
"Viudo(a) (068)",352,10,44,220,4,62,12
"Divorciado(a) (069)",18,,,11,,5,2
"Soltero(a) (070)",1749,157,145,716,6,569,156
