"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia URUBAMBA (000)",15104,183,4977,4605,1647,571,211,71,8,,2831
"Catolica (001)",13852,177,4670,4316,1533,528,201,69,8,,2350
"Cristiana / Evangelica (002)",793,5,257,226,71,21,9,1,,,203
"Otra (003)",198,,27,41,24,13,1,,,,92
"Ninguna (004)",261,1,23,22,19,9,,1,,,186
,,,,,,,,,,,
"URBANA (006)",7734,79,2135,2177,930,339,133,43,5,,1893
"Catolica (007)",6911,75,1987,2040,856,308,126,41,5,,1473
"Cristiana / Evangelica (008)",423,3,113,94,39,12,7,1,,,154
"Otra (009)",162,,20,29,19,11,,,,,83
"Ninguna (010)",238,1,15,14,16,8,,1,,,183
,,,,,,,,,,,
"RURAL (012)",7370,104,2842,2428,717,232,78,28,3,,938
"Catolica (013)",6941,102,2683,2276,677,220,75,28,3,,877
"Cristiana / Evangelica (014)",370,2,144,132,32,9,2,,,,49
"Otra (015)",36,,7,12,5,2,1,,,,9
"Ninguna (016)",23,,8,8,3,1,,,,,3
