"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia YAUYOS (000)",12764,471,1,3625,5180,806,1173,370,1138
"Empleado (001)",1978,3,,52,293,191,521,162,756
"Obrero (002)",3138,57,,573,1678,281,333,77,139
"Trabajador independiente (003)",5497,257,,2162,2278,261,242,100,197
"Empleador o patrono (004)",188,4,,59,81,14,15,2,13
"Trabajador familiar no remunerado (005)",1840,144,1,748,777,50,58,29,33
"Trabajador del hogar (006)",123,6,,31,73,9,4,,
"Hombres (008)",8543,101,,2006,3871,639,843,288,795
"Empleado (009)",1287,,,26,204,138,302,125,492
"Obrero (010)",2730,23,,393,1527,262,322,74,129
"Trabajador independiente (011)",3715,65,,1346,1718,199,174,69,144
"Empleador o patrono (012)",127,1,,39,59,9,7,1,11
"Trabajador familiar no remunerado (013)",678,12,,200,359,31,38,19,19
"Trabajador del hogar (014)",6,,,2,4,,,,
"Mujeres (016)",4221,370,1,1619,1309,167,330,82,343
"Empleado (017)",691,3,,26,89,53,219,37,264
"Obrero (018)",408,34,,180,151,19,11,3,10
"Trabajador independiente (019)",1782,192,,816,560,62,68,31,53
"Empleador o patrono (020)",61,3,,20,22,5,8,1,2
"Trabajador familiar no remunerado (021)",1162,132,1,548,418,19,20,10,14
"Trabajador del hogar (022)",117,6,,29,69,9,4,,
,,,,,,,,,
"URBANA (024)",6618,179,1,1915,2561,367,663,203,729
"Empleado (025)",1313,2,,32,173,84,381,94,547
"Obrero (026)",986,30,,284,488,63,70,12,39
"Trabajador independiente (027)",3146,102,,1150,1357,175,163,81,118
"Empleador o patrono (028)",134,4,,39,55,10,13,2,11
"Trabajador familiar no remunerado (029)",946,37,1,384,435,29,32,14,14
"Trabajador del hogar (030)",93,4,,26,53,6,4,,
"Hombres (032)",4024,37,,984,1739,252,407,139,466
"Empleado (033)",773,,,14,122,48,194,63,332
"Obrero (034)",729,10,,161,397,53,65,11,32
"Trabajador independiente (035)",2099,24,,690,994,129,121,54,87
"Empleador o patrono (036)",79,1,,22,36,5,5,1,9
"Trabajador familiar no remunerado (037)",339,2,,95,187,17,22,10,6
"Trabajador del hogar (038)",5,,,2,3,,,,
"Mujeres (040)",2594,142,1,931,822,115,256,64,263
"Empleado (041)",540,2,,18,51,36,187,31,215
"Obrero (042)",257,20,,123,91,10,5,1,7
"Trabajador independiente (043)",1047,78,,460,363,46,42,27,31
"Empleador o patrono (044)",55,3,,17,19,5,8,1,2
"Trabajador familiar no remunerado (045)",607,35,1,289,248,12,10,4,8
"Trabajador del hogar (046)",88,4,,24,50,6,4,,
,,,,,,,,,
"RURAL (048)",6146,292,,1710,2619,439,510,167,409
"Empleado (049)",665,1,,20,120,107,140,68,209
"Obrero (050)",2152,27,,289,1190,218,263,65,100
"Trabajador independiente (051)",2351,155,,1012,921,86,79,19,79
"Empleador o patrono (052)",54,,,20,26,4,2,,2
"Trabajador familiar no remunerado (053)",894,107,,364,342,21,26,15,19
"Trabajador del hogar (054)",30,2,,5,20,3,,,
"Hombres (056)",4519,64,,1022,2132,387,436,149,329
"Empleado (057)",514,,,12,82,90,108,62,160
"Obrero (058)",2001,13,,232,1130,209,257,63,97
"Trabajador independiente (059)",1616,41,,656,724,70,53,15,57
"Empleador o patrono (060)",48,,,17,23,4,2,,2
"Trabajador familiar no remunerado (061)",339,10,,105,172,14,16,9,13
"Trabajador del hogar (062)",1,,,,1,,,,
"Mujeres (064)",1627,228,,688,487,52,74,18,80
"Empleado (065)",151,1,,8,38,17,32,6,49
"Obrero (066)",151,14,,57,60,9,6,2,3
"Trabajador independiente (067)",735,114,,356,197,16,26,4,22
"Empleador o patrono (068)",6,,,3,3,,,,
"Trabajador familiar no remunerado (069)",555,97,,259,170,7,10,6,6
"Trabajador del hogar (070)",29,2,,5,19,3,,,
