"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia JORGE BASADRE (000)",8962,1218,2827,2548,1892,477
"Sin nivel (001)",446,20,20,89,148,169
"Educación inicial (002)",134,127,5,2,,
"Primaria (003)",2056,807,153,371,514,211
"Secundaria (004)",3393,264,1670,862,550,47
"Superior no univ. incompleta (005)",507,,231,177,92,7
"Superior no univ. completa (006)",834,,302,334,181,17
"Superior univ. incompleta (007)",428,,158,155,107,8
"Superior univ. completa (008)",1164,,288,558,300,18
"PEA (010)",5718,32,1751,2078,1579,278
"Sin nivel (011)",247,,8,59,111,69
"Educación inicial (012)",8,2,5,1,,
"Primaria (013)",953,15,97,290,417,134
"Secundaria (014)",2141,15,893,722,473,38
"Superior no univ. incompleta (015)",377,,149,141,82,5
"Superior no univ. completa (016)",701,,265,274,151,11
"Superior univ. incompleta (017)",313,,92,123,92,6
"Superior univ. completa (018)",978,,242,468,253,15
"Ocupada (020)",5571,32,1679,2025,1560,275
"Sin nivel (021)",238,,5,55,110,68
"Educación inicial (022)",8,2,5,1,,
"Primaria (023)",916,15,90,272,406,133
"Secundaria (024)",2073,15,855,699,467,37
"Superior no univ. incompleta (025)",367,,143,138,81,5
"Superior no univ. completa (026)",692,,259,271,151,11
"Superior univ. incompleta (027)",307,,87,122,92,6
"Superior univ. completa (028)",970,,235,467,253,15
"Desocupada (030)",147,,72,53,19,3
"Sin nivel (031)",9,,3,4,1,1
"Primaria (033)",37,,7,18,11,1
