"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ALTO AMAZONAS (000)",24490,770,12511,5657,1529,522,253,100,9,,3139
"Catolica (001)",18392,564,9429,4266,1210,427,205,81,5,,2205
"Cristiana / Evangelica (002)",4095,141,2055,914,200,58,32,14,2,,679
"Otra (003)",1270,35,626,345,80,29,12,4,2,,137
"Ninguna (004)",733,30,401,132,39,8,4,1,,,118
,,,,,,,,,,,
"URBANA (006)",15867,363,7552,4202,1223,417,200,75,7,,1828
"Catolica (007)",12252,271,5750,3244,1005,347,167,59,4,,1405
"Cristiana / Evangelica (008)",2272,57,1143,607,128,43,19,13,1,,261
"Otra (009)",889,18,423,251,61,24,11,2,2,,97
"Ninguna (010)",454,17,236,100,29,3,3,1,,,65
,,,,,,,,,,,
"RURAL (012)",8623,407,4959,1455,306,105,53,25,2,,1311
"Catolica (013)",6140,293,3679,1022,205,80,38,22,1,,800
"Cristiana / Evangelica (014)",1823,84,912,307,72,15,13,1,1,,418
"Otra (015)",381,17,203,94,19,5,1,2,,,40
"Ninguna (016)",279,13,165,32,10,5,1,,,,53
