"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHINCHEROS (000)",448,199,249
"De 14 a 29 años (001)",236,133,103
"De 30 a 44 años (002)",139,57,82
"De 45 a 64 años (003)",57,9,48
"De 65 y más años (004)",16,,16
"Hombres (005)",365,150,215
"De 14 a 29 años (006)",178,98,80
"De 30 a 44 años (007)",117,43,74
"De 45 a 64 años (008)",54,9,45
"De 65 y más años (009)",16,,16
"Mujeres (010)",83,49,34
"De 14 a 29 años (011)",58,35,23
"De 30 a 44 años (012)",22,14,8
"De 45 a 64 años (013)",3,,3
,,,
"AREA URBANA (015)",163,72,91
"De 14 a 29 años (016)",85,47,38
"De 30 a 44 años (017)",54,22,32
"De 45 a 64 años (018)",20,3,17
"De 65 y más años (019)",4,,4
"Hombres (020)",131,56,75
"De 14 a 29 años (021)",63,35,28
"De 30 a 44 años (022)",45,18,27
"De 45 a 64 años (023)",19,3,16
"De 65 y más años (024)",4,,4
"Mujeres (025)",32,16,16
"De 14 a 29 años (026)",22,12,10
"De 30 a 44 años (027)",9,4,5
"De 45 a 64 años (028)",1,,1
,,,
"AREA RURAL (030)",285,127,158
"De 14 a 29 años (031)",151,86,65
"De 30 a 44 años (032)",85,35,50
"De 45 a 64 años (033)",37,6,31
"De 65 y más años (034)",12,,12
"Hombres (035)",234,94,140
"De 14 a 29 años (036)",115,63,52
"De 30 a 44 años (037)",72,25,47
"De 45 a 64 años (038)",35,6,29
"De 65 y más años (039)",12,,12
"Mujeres (040)",51,33,18
"De 14 a 29 años (041)",36,23,13
"De 30 a 44 años (042)",13,10,3
"De 45 a 64 años (043)",2,,2
