"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia MARISCAL RAMON CASTILLA (000)",1010,344,666
"Sin nivel (001)",47,11,36
"Primaria (003)",422,139,283
"Secundaria (004)",453,160,293
"Superior no univ. incompleta (005)",34,13,21
"Superior no univ. completa (006)",21,5,16
"Superior univ. incompleta (007)",18,9,9
"Superior univ. completa (008)",15,7,8
"De 14 a 29 años (010)",631,271,360
"Sin nivel (011)",21,7,14
"Primaria (013)",230,107,123
"Secundaria (014)",324,132,192
"Superior no univ. incompleta (015)",25,12,13
"Superior no univ. completa (016)",12,3,9
"Superior univ. incompleta (017)",12,7,5
"Superior univ. completa (018)",7,3,4
"De 30 a 44 años (020)",243,61,182
"Sin nivel (021)",11,3,8
"Primaria (023)",112,24,88
"Secundaria (024)",95,25,70
"Superior no univ. incompleta (025)",7,1,6
"Superior no univ. completa (026)",7,2,5
"Superior univ. incompleta (027)",4,2,2
"Superior univ. completa (028)",7,4,3
"De 45 a 64 años (030)",111,12,99
"Sin nivel (031)",9,1,8
"Primaria (033)",64,8,56
"Secundaria (034)",31,3,28
"Superior no univ. incompleta (035)",2,,2
"Superior no univ. completa (036)",2,,2
"Superior univ. incompleta (037)",2,,2
"Superior univ. completa (038)",1,,1
"De 65 y más años (040)",25,,25
"Sin nivel (041)",6,,6
"Primaria (043)",16,,16
"Secundaria (044)",3,,3
,,,
"AREA URBANA (050)",497,159,338
"Sin nivel (051)",6,1,5
"Primaria (053)",153,41,112
"Secundaria (054)",273,91,182
"Superior no univ. incompleta (055)",24,10,14
"Superior no univ. completa (056)",18,5,13
"Superior univ. incompleta (057)",12,5,7
"Superior univ. completa (058)",11,6,5
"De 14 a 29 años (060)",306,121,185
"Sin nivel (061)",2,1,1
"Primaria (063)",69,25,44
"Secundaria (064)",195,77,118
"Superior no univ. incompleta (065)",18,9,9
"Superior no univ. completa (066)",10,3,7
"Superior univ. incompleta (067)",6,3,3
"Superior univ. completa (068)",6,3,3
"De 30 a 44 años (070)",119,31,88
"Sin nivel (071)",1,,1
"Primaria (073)",46,11,35
"Secundaria (074)",52,12,40
"Superior no univ. incompleta (075)",6,1,5
"Superior no univ. completa (076)",6,2,4
"Superior univ. incompleta (077)",4,2,2
"Superior univ. completa (078)",4,3,1
"De 45 a 64 años (080)",61,7,54
"Sin nivel (081)",1,,1
"Primaria (083)",29,5,24
"Secundaria (084)",26,2,24
"Superior no univ. completa (086)",2,,2
"Superior univ. incompleta (087)",2,,2
"Superior univ. completa (088)",1,,1
"De 65 y más años (090)",11,,11
"Sin nivel (091)",2,,2
"Primaria (093)",9,,9
,,,
"AREA RURAL (100)",513,185,328
"Sin nivel (101)",41,10,31
"Primaria (103)",269,98,171
"Secundaria (104)",180,69,111
"Superior no univ. incompleta (105)",10,3,7
"Superior no univ. completa (106)",3,,3
"Superior univ. incompleta (107)",6,4,2
"Superior univ. completa (108)",4,1,3
"De 14 a 29 años (110)",325,150,175
"Sin nivel (111)",19,6,13
"Primaria (113)",161,82,79
"Secundaria (114)",129,55,74
"Superior no univ. incompleta (115)",7,3,4
"Superior no univ. completa (116)",2,,2
"Superior univ. incompleta (117)",6,4,2
"Superior univ. completa (118)",1,,1
"De 30 a 44 años (120)",124,30,94
"Sin nivel (121)",10,3,7
"Primaria (123)",66,13,53
"Secundaria (124)",43,13,30
"Superior no univ. incompleta (125)",1,,1
"Superior no univ. completa (126)",1,,1
"Superior univ. completa (128)",3,1,2
"De 45 a 64 años (130)",50,5,45
"Sin nivel (131)",8,1,7
"Primaria (133)",35,3,32
"Secundaria (134)",5,1,4
"Superior no univ. incompleta (135)",2,,2
"De 65 y más años (140)",14,,14
"Sin nivel (141)",4,,4
"Primaria (143)",7,,7
"Secundaria (144)",3,,3
