"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia HUARI (000)",37606,17778,170,440,17925,529,20,83,,661
"Hombres (001)",14153,9237,108,240,3865,252,11,45,,395
"Mujeres (002)",23453,8541,62,200,14060,277,9,38,,266
"De 06 a 14 años (003)",13604,12889,,,454,94,,5,,162
"Hombres (004)",6832,6549,,,186,34,,,,63
"Mujeres (005)",6772,6340,,,268,60,,5,,99
"De 15 a 29 años (006)",9998,4803,8,116,4875,,7,16,,173
"Hombres (007)",3964,2652,5,57,1124,,4,11,,111
"Mujeres (008)",6034,2151,3,59,3751,,3,5,,62
"De 30 a 44 años (009)",4825,59,7,95,4540,,8,9,,107
"Hombres (010)",962,29,3,53,791,,4,7,,75
"Mujeres (011)",3863,30,4,42,3749,,4,2,,32
"De 45 a 64 años (012)",4947,21,69,123,4617,4,2,11,,100
"Hombres (013)",1044,4,41,70,843,2,2,8,,74
"Mujeres (014)",3903,17,28,53,3774,2,,3,,26
"De 65 y más años (015)",4232,6,86,106,3439,431,3,42,,119
"Hombres (016)",1351,3,59,60,921,216,1,19,,72
"Mujeres (017)",2881,3,27,46,2518,215,2,23,,47
,,,,,,,,,,
"AREA URBANA (018)",12815,6410,125,220,5582,171,12,17,,278
"Hombres (019)",5027,3354,77,114,1203,83,6,9,,181
"Mujeres (020)",7788,3056,48,106,4379,88,6,8,,97
"De 06 a 14 años (021)",4650,4417,,,151,21,,1,,60
"Hombres (022)",2402,2301,,,67,7,,,,27
"Mujeres (023)",2248,2116,,,84,14,,1,,33
"De 15 a 29 años (024)",3597,1948,2,54,1498,,5,4,,86
"Hombres (025)",1485,1035,2,20,365,,2,3,,58
"Mujeres (026)",2112,913,,34,1133,,3,1,,28
"De 30 a 44 años (027)",1611,32,3,40,1475,,6,4,,51
"Hombres (028)",323,16,2,22,239,,3,2,,39
"Mujeres (029)",1288,16,1,18,1236,,3,2,,12
"De 45 a 64 años (030)",1555,10,47,66,1390,1,1,2,,38
"Hombres (031)",354,1,24,39,257,1,1,2,,29
"Mujeres (032)",1201,9,23,27,1133,,,,,9
"De 65 y más años (033)",1402,3,73,60,1068,149,,6,,43
"Hombres (034)",463,1,49,33,275,75,,2,,28
"Mujeres (035)",939,2,24,27,793,74,,4,,15
,,,,,,,,,,
"AREA RURAL (036)",24791,11368,45,220,12343,358,8,66,,383
"Hombres (037)",9126,5883,31,126,2662,169,5,36,,214
"Mujeres (038)",15665,5485,14,94,9681,189,3,30,,169
"De 06 a 14 años (039)",8954,8472,,,303,73,,4,,102
"Hombres (040)",4430,4248,,,119,27,,,,36
"Mujeres (041)",4524,4224,,,184,46,,4,,66
"De 15 a 29 años (042)",6401,2855,6,62,3377,,2,12,,87
"Hombres (043)",2479,1617,3,37,759,,2,8,,53
"Mujeres (044)",3922,1238,3,25,2618,,,4,,34
"De 30 a 44 años (045)",3214,27,4,55,3065,,2,5,,56
"Hombres (046)",639,13,1,31,552,,1,5,,36
"Mujeres (047)",2575,14,3,24,2513,,1,,,20
"De 45 a 64 años (048)",3392,11,22,57,3227,3,1,9,,62
"Hombres (049)",690,3,17,31,586,1,1,6,,45
"Mujeres (050)",2702,8,5,26,2641,2,,3,,17
"De 65 y más años (051)",2830,3,13,46,2371,282,3,36,,76
"Hombres (052)",888,2,10,27,646,141,1,17,,44
"Mujeres (053)",1942,1,3,19,1725,141,2,19,,32
