"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CHEPEN (000)",29456,28208,8007,4540,4625,3644,3774,1904,1714,1248
"Católica (001)",19627,18745,5575,3157,3192,2385,2355,1106,975,882
"Cristiana/Evangélica (002)",7637,7366,1786,1010,1106,986,1178,666,634,271
"Otra (003)",1027,988,262,140,150,155,125,86,70,39
"Ninguna (004)",1165,1109,384,233,177,118,116,46,35,56
,,,,,,,,,,
"URBANA (006)",24639,23589,6800,3881,3970,3079,3076,1498,1285,1050
"Católica (007)",16647,15911,4806,2725,2757,2037,1948,883,755,736
"Cristiana/Evangélica (008)",6226,5998,1468,856,935,823,939,524,453,228
"Otra (009)",820,786,219,115,129,124,96,53,50,34
"Ninguna (010)",946,894,307,185,149,95,93,38,27,52
,,,,,,,,,,
"RURAL (012)",4817,4619,1207,659,655,565,698,406,429,198
"Católica (013)",2980,2834,769,432,435,348,407,223,220,146
"Cristiana/Evangélica (014)",1411,1368,318,154,171,163,239,142,181,43
"Otra (015)",207,202,43,25,21,31,29,33,20,5
"Ninguna (016)",219,215,77,48,28,23,23,8,8,4
