"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia MANU (000)",6936,3460,12,80,3032,92,39,3,,218
"Hombres (001)",2635,1780,9,37,604,48,24,3,,130
"Mujeres (002)",4301,1680,3,43,2428,44,15,,,88
"De 06 a 14 años (003)",3103,2882,,,122,69,1,2,,27
"Hombres (004)",1580,1474,,,56,34,,2,,14
"Mujeres (005)",1523,1408,,,66,35,1,,,13
"De 15 a 29 años (006)",2191,549,2,38,1487,,8,1,,106
"Hombres (007)",616,293,1,16,243,,5,1,,57
"Mujeres (008)",1575,256,1,22,1244,,3,,,49
"De 30 a 44 años (009)",1060,22,,29,938,,21,,,50
"Hombres (010)",254,12,,15,180,,14,,,33
"Mujeres (011)",806,10,,14,758,,7,,,17
"De 45 a 64 años (012)",447,6,7,9,385,2,9,,,29
"Hombres (013)",135,,7,5,92,2,5,,,24
"Mujeres (014)",312,6,,4,293,,4,,,5
"De 65 y más años (015)",135,1,3,4,100,21,,,,6
"Hombres (016)",50,1,1,1,33,12,,,,2
"Mujeres (017)",85,,2,3,67,9,,,,4
,,,,,,,,,,
"AREA URBANA (018)",2917,1668,6,30,1102,24,21,2,,64
"Hombres (019)",1157,845,4,10,230,16,14,2,,36
"Mujeres (020)",1760,823,2,20,872,8,7,,,28
"De 06 a 14 años (021)",1433,1355,,,54,14,1,1,,8
"Hombres (022)",721,681,,,25,9,,1,,5
"Mujeres (023)",712,674,,,29,5,1,,,3
"De 15 a 29 años (024)",812,291,1,16,470,,2,1,,31
"Hombres (025)",257,155,,6,77,,2,1,,16
"Mujeres (026)",555,136,1,10,393,,,,,15
"De 30 a 44 años (027)",456,17,,11,399,,13,,,16
"Hombres (028)",117,8,,4,87,,9,,,9
"Mujeres (029)",339,9,,7,312,,4,,,7
"De 45 a 64 años (030)",172,4,3,2,151,,5,,,7
"Hombres (031)",46,,3,,34,,3,,,6
"Mujeres (032)",126,4,,2,117,,2,,,1
"De 65 y más años (033)",44,1,2,1,28,10,,,,2
"Hombres (034)",16,1,1,,7,7,,,,
"Mujeres (035)",28,,1,1,21,3,,,,2
,,,,,,,,,,
"AREA RURAL (036)",4019,1792,6,50,1930,68,18,1,,154
"Hombres (037)",1478,935,5,27,374,32,10,1,,94
"Mujeres (038)",2541,857,1,23,1556,36,8,,,60
"De 06 a 14 años (039)",1670,1527,,,68,55,,1,,19
"Hombres (040)",859,793,,,31,25,,1,,9
"Mujeres (041)",811,734,,,37,30,,,,10
"De 15 a 29 años (042)",1379,258,1,22,1017,,6,,,75
"Hombres (043)",359,138,1,10,166,,3,,,41
"Mujeres (044)",1020,120,,12,851,,3,,,34
"De 30 a 44 años (045)",604,5,,18,539,,8,,,34
"Hombres (046)",137,4,,11,93,,5,,,24
"Mujeres (047)",467,1,,7,446,,3,,,10
"De 45 a 64 años (048)",275,2,4,7,234,2,4,,,22
"Hombres (049)",89,,4,5,58,2,2,,,18
"Mujeres (050)",186,2,,2,176,,2,,,4
"De 65 y más años (051)",91,,1,3,72,11,,,,4
"Hombres (052)",34,,,1,26,5,,,,2
"Mujeres (053)",57,,1,2,46,6,,,,2
