"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia PACHITEA (000)",19450,18937,5993,2501,2083,1634,2470,1796,2460,513
"Católica (001)",16252,15823,5077,2115,1730,1358,2022,1500,2021,429
"Cristiana/Evangélica (002)",2985,2904,837,356,325,263,419,278,426,81
"Otra (003)",59,59,16,6,9,3,9,8,8,
"Ninguna (004)",154,151,63,24,19,10,20,10,5,3
,,,,,,,,,,
"URBANA (006)",3073,3012,986,462,394,303,394,237,236,61
"Católica (007)",2304,2253,719,372,294,230,289,178,171,51
"Cristiana/Evangélica (008)",703,694,244,82,85,69,99,53,62,9
"Otra (009)",24,24,7,2,4,1,4,4,2,
"Ninguna (010)",42,41,16,6,11,3,2,2,1,1
,,,,,,,,,,
"RURAL (012)",16377,15925,5007,2039,1689,1331,2076,1559,2224,452
"Católica (013)",13948,13570,4358,1743,1436,1128,1733,1322,1850,378
"Cristiana/Evangélica (014)",2282,2210,593,274,240,194,320,225,364,72
"Otra (015)",35,35,9,4,5,2,5,4,6,
"Ninguna (016)",112,110,47,18,8,7,18,8,4,2
