"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ACOMAYO (000)",7198,81,2697,2380,722,240,110,53,8,,907
"Sin Nivel (001)",2917,35,1048,973,289,133,66,32,6,,335
"Educación Inicial (002)",32,,17,4,4,1,,,,,6
"Primaria (003)",2892,39,1263,971,245,53,33,19,2,,267
"Secundaria (004)",978,6,319,330,105,25,8,2,,,183
"Sup. no Univ. Incompleta (005)",86,,20,25,11,1,,,,,29
"Sup. no Univ. Completa (006)",158,,15,51,39,10,2,,,,41
"Sup. Univ. Incompleta (007)",41,,5,10,7,,,,,,19
"Sup. Univ. Completa (008)",94,1,10,16,22,17,1,,,,27
,,,,,,,,,,,
"URBANA (010)",3930,42,1374,1256,442,168,86,36,7,,519
"Sin Nivel (011)",1417,15,465,464,147,88,49,22,5,,162
"Educación Inicial (012)",10,,5,1,1,1,,,,,2
"Primaria (013)",1543,22,664,484,151,35,28,12,2,,145
"Secundaria (014)",641,4,200,216,77,18,6,2,,,118
"Sup. no Univ. Incompleta (015)",69,,16,22,8,1,,,,,22
"Sup. no Univ. Completa (016)",134,,12,45,32,9,2,,,,34
"Sup. Univ. Incompleta (017)",29,,3,8,5,,,,,,13
"Sup. Univ. Completa (018)",87,1,9,16,21,16,1,,,,23
,,,,,,,,,,,
"RURAL (020)",3268,39,1323,1124,280,72,24,17,1,,388
"Sin Nivel (021)",1500,20,583,509,142,45,17,10,1,,173
"Educación Inicial (022)",22,,12,3,3,,,,,,4
"Primaria (023)",1349,17,599,487,94,18,5,7,,,122
"Secundaria (024)",337,2,119,114,28,7,2,,,,65
"Sup. no Univ. Incompleta (025)",17,,4,3,3,,,,,,7
"Sup. no Univ. Completa (026)",24,,3,6,7,1,,,,,7
"Sup. Univ. Incompleta (027)",12,,2,2,2,,,,,,6
"Sup. Univ. Completa (028)",7,,1,,1,1,,,,,4
