"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia CORONGO",,,,
"Viviendas particulares (001)",1299,1120,173,6
"Ocupantes presentes (002)",5477,4665,792,20
"Casa independiente",,,,
"Viviendas particulares (004)",1294,1115,173,6
"Ocupantes presentes (005)",5455,4643,792,20
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",4,4,,
"Ocupantes presentes (014)",21,21,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",1,1,,
"Ocupantes presentes (023)",1,1,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",1181,1020,155,6
"Ocupantes presentes (029)",4998,4255,723,20
"Casa independiente",,,,
"Viviendas particulares (031)",1177,1016,155,6
"Ocupantes presentes (032)",4980,4237,723,20
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",3,3,,
"Ocupantes presentes (041)",17,17,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",1,1,,
"Ocupantes presentes (050)",1,1,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",118,100,18,
"Ocupantes presentes (056)",479,410,69,
"Casa independiente",,,,
"Viviendas particulares (058)",117,99,18,
"Ocupantes presentes (059)",475,406,69,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",1,1,,
"Ocupantes presentes (068)",4,4,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",863,762,97,4
"Ocupantes presentes (110)",3519,3110,396,13
"Casa independiente",,,,
"Viviendas particulares (112)",858,757,97,4
"Ocupantes presentes (113)",3497,3088,396,13
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",4,4,,
"Ocupantes presentes (122)",21,21,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",1,1,,
"Ocupantes presentes (131)",1,1,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",829,742,83,4
"Ocupantes presentes (137)",3403,3036,354,13
"Casa independiente",,,,
"Viviendas particulares (139)",825,738,83,4
"Ocupantes presentes (140)",3385,3018,354,13
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",3,3,,
"Ocupantes presentes (149)",17,17,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",1,1,,
"Ocupantes presentes (158)",1,1,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",34,20,14,
"Ocupantes presentes (164)",116,74,42,
"Casa independiente",,,,
"Viviendas particulares (166)",33,19,14,
"Ocupantes presentes (167)",112,70,42,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",1,1,,
"Ocupantes presentes (176)",4,4,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",436,358,76,2
"Ocupantes presentes (218)",1958,1555,396,7
"Casa independiente",,,,
"Viviendas particulares (220)",436,358,76,2
"Ocupantes presentes (221)",1958,1555,396,7
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",352,278,72,2
"Ocupantes presentes (245)",1595,1219,369,7
"Casa independiente",,,,
"Viviendas particulares (247)",352,278,72,2
"Ocupantes presentes (248)",1595,1219,369,7
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",84,80,4,
"Ocupantes presentes (272)",363,336,27,
"Casa independiente",,,,
"Viviendas particulares (274)",84,80,4,
"Ocupantes presentes (275)",363,336,27,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
