"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ACOBAMBA (000)",59747,27317,1829,479,30182
"Quechua (001)",51338,23743,744,272,26612
"Aymara (002)",49,25,4,2,21
"Asháninka (003)",11,8,,4,3
"Otra lengua nativa (004)",10,6,,1,4
"Castellano (005)",8261,3510,1081,200,3489
"Es Sordomudo/a (007)",78,25,,,53
"Hombres (009)",29333,13188,951,270,14964
"Quechua (010)",25077,11440,414,153,13092
"Aymara (011)",21,11,3,1,8
"Asháninka (012)",6,4,,3,2
"Otra lengua nativa (013)",6,3,,,3
"Castellano (014)",4184,1716,534,113,1834
"Es Sordomudo/a (016)",39,14,,,25
"Mujeres (018)",30414,14129,878,209,15218
"Quechua (019)",26261,12303,330,119,13520
"Aymara (020)",28,14,1,1,13
"Asháninka (021)",5,4,,1,1
"Otra lengua nativa (022)",4,3,,1,1
"Castellano (023)",4077,1794,547,87,1655
"Es Sordomudo/a (025)",39,11,,,28
,,,,,
"URBANA (027)",18232,6682,1489,304,9790
"Quechua (028)",11521,4071,505,122,6838
"Aymara (029)",24,12,4,2,9
"Asháninka (030)",2,1,,,1
"Otra lengua nativa (031)",1,,,,1
"Castellano (032)",6673,2594,980,180,2934
"Es Sordomudo/a (034)",11,4,,,7
"Hombres (036)",8902,3205,764,168,4786
"Quechua (037)",5528,1947,277,67,3247
"Aymara (038)",12,5,3,1,5
"Asháninka (039)",2,1,,,1
"Otra lengua nativa (040)",1,,,,1
"Castellano (041)",3355,1250,484,100,1530
"Es Sordomudo/a (043)",4,2,,,2
"Mujeres (045)",9330,3477,725,136,5004
"Quechua (046)",5993,2124,228,55,3591
"Aymara (047)",12,7,1,1,4
"Castellano (050)",3318,1344,496,80,1404
"Es Sordomudo/a (052)",7,2,,,5
,,,,,
"RURAL (054)",41515,20635,340,175,20392
"Quechua (055)",39817,19672,239,150,19774
"Aymara (056)",25,13,,,12
"Asháninka (057)",9,7,,4,2
"Otra lengua nativa (058)",9,6,,1,3
"Castellano (059)",1588,916,101,20,555
"Es Sordomudo/a (061)",67,21,,,46
"Hombres (063)",20431,9983,187,102,10178
"Quechua (064)",19549,9493,137,86,9845
"Aymara (065)",9,6,,,3
"Asháninka (066)",4,3,,3,1
"Otra lengua nativa (067)",5,3,,,2
"Castellano (068)",829,466,50,13,304
"Es Sordomudo/a (070)",35,12,,,23
"Mujeres (072)",21084,10652,153,73,10214
"Quechua (073)",20268,10179,102,64,9929
"Aymara (074)",16,7,,,9
"Asháninka (075)",5,4,,1,1
"Otra lengua nativa (076)",4,3,,1,1
"Castellano (077)",759,450,51,7,251
"Es Sordomudo/a (079)",32,9,,,23
