"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia LAMBAYEQUE (000)",122651,17732,34798,31860,38261
"Asiste actualmente (001)",77987,8093,32995,25703,11196
"No asiste (002)",44664,9639,1803,6157,27065
"Hombres (004)",62219,8988,17693,16268,19270
"Asiste actualmente (005)",40623,4039,16777,13708,6099
"No asiste (006)",21596,4949,916,2560,13171
"Mujeres (008)",60432,8744,17105,15592,18991
"Asiste actualmente (009)",37364,4054,16218,11995,5097
"No asiste (010)",23068,4690,887,3597,13894
,,,,,
"URBANA (012)",56405,7730,15179,14447,19049
"Asiste actualmente (013)",39524,4465,14628,12755,7676
"No asiste (014)",16881,3265,551,1692,11373
"Hombres (016)",28185,3903,7705,7235,9342
"Asiste actualmente (017)",20019,2224,7412,6468,3915
"No asiste (018)",8166,1679,293,767,5427
"Mujeres (020)",28220,3827,7474,7212,9707
"Asiste actualmente (021)",19505,2241,7216,6287,3761
"No asiste (022)",8715,1586,258,925,5946
,,,,,
"RURAL (024)",66246,10002,19619,17413,19212
"Asiste actualmente (025)",38463,3628,18367,12948,3520
"No asiste (026)",27783,6374,1252,4465,15692
"Hombres (028)",34034,5085,9988,9033,9928
"Asiste actualmente (029)",20604,1815,9365,7240,2184
"No asiste (030)",13430,3270,623,1793,7744
"Mujeres (032)",32212,4917,9631,8380,9284
"Asiste actualmente (033)",17859,1813,9002,5708,1336
"No asiste (034)",14353,3104,629,2672,7948
