"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",12313,179,3575,4262,3173,1124
"Empleado (001)",1806,5,548,837,397,19
"Obrero (002)",1489,18,528,499,332,112
"Trabajador independiente (003)",5887,7,1296,2111,1759,714
"Empleador o patrono (004)",157,,35,50,54,18
"Trabajador familiar no remunerado (005)",2804,143,1079,721,611,250
"Trabajador del hogar (006)",170,6,89,44,20,11
"Hombres (008)",9096,103,2489,3175,2427,902
"Empleado (009)",1102,2,292,500,292,16
"Obrero (010)",1312,12,460,448,292,100
"Trabajador independiente (011)",4649,4,944,1706,1414,581
"Empleador o patrono (012)",129,,26,44,45,14
"Trabajador familiar no remunerado (013)",1886,83,757,475,383,188
"Trabajador del hogar (014)",18,2,10,2,1,3
"Mujeres (016)",3217,76,1086,1087,746,222
"Empleado (017)",704,3,256,337,105,3
"Obrero (018)",177,6,68,51,40,12
"Trabajador independiente (019)",1238,3,352,405,345,133
"Empleador o patrono (020)",28,,9,6,9,4
"Trabajador familiar no remunerado (021)",918,60,322,246,228,62
"Trabajador del hogar (022)",152,4,79,42,19,8
,,,,,,
"URBANA (024)",7842,110,2266,2740,2017,709
"Empleado (025)",1517,5,446,703,346,17
"Obrero (026)",1188,13,416,404,267,88
"Trabajador independiente (027)",3298,7,736,1157,977,421
"Empleador o patrono (028)",129,,29,39,46,15
"Trabajador familiar no remunerado (029)",1562,81,564,397,361,159
"Trabajador del hogar (030)",148,4,75,40,20,9
"Hombres (032)",5591,67,1533,1953,1483,555
"Empleado (033)",926,2,246,412,251,15
"Obrero (034)",1063,11,366,367,239,80
"Trabajador independiente (035)",2438,4,486,878,739,331
"Empleador o patrono (036)",106,,23,33,38,12
"Trabajador familiar no remunerado (037)",1046,50,403,262,215,116
"Trabajador del hogar (038)",12,,9,1,1,1
"Mujeres (040)",2251,43,733,787,534,154
"Empleado (041)",591,3,200,291,95,2
"Obrero (042)",125,2,50,37,28,8
"Trabajador independiente (043)",860,3,250,279,238,90
"Empleador o patrono (044)",23,,6,6,8,3
"Trabajador familiar no remunerado (045)",516,31,161,135,146,43
"Trabajador del hogar (046)",136,4,66,39,19,8
,,,,,,
"RURAL (048)",4471,69,1309,1522,1156,415
"Empleado (049)",289,,102,134,51,2
"Obrero (050)",301,5,112,95,65,24
"Trabajador independiente (051)",2589,,560,954,782,293
"Empleador o patrono (052)",28,,6,11,8,3
"Trabajador familiar no remunerado (053)",1242,62,515,324,250,91
"Trabajador del hogar (054)",22,2,14,4,,2
"Hombres (056)",3505,36,956,1222,944,347
"Empleado (057)",176,,46,88,41,1
"Obrero (058)",249,1,94,81,53,20
"Trabajador independiente (059)",2211,,458,828,675,250
"Empleador o patrono (060)",23,,3,11,7,2
"Trabajador familiar no remunerado (061)",840,33,354,213,168,72
"Trabajador del hogar (062)",6,2,1,1,,2
"Mujeres (064)",966,33,353,300,212,68
"Empleado (065)",113,,56,46,10,1
"Obrero (066)",52,4,18,14,12,4
"Trabajador independiente (067)",378,,102,126,107,43
"Empleador o patrono (068)",5,,3,,1,1
"Trabajador familiar no remunerado (069)",402,29,161,111,82,19
"Trabajador del hogar (070)",16,,13,3,,
