"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LAMAS (000)",33315,1526,12235,10469,7251,1834
"Agric., ganadería, caza y silvicultura (001)",25091,1340,9455,7414,5412,1470
"Pesca (002)",3,,1,1,1,
"Explotación de minas y canteras (003)",4,,2,1,,1
"Industrias manufactureras (004)",502,9,135,183,132,43
"Suministro de electricidad, gas y agua (005)",39,,18,9,12,
"Construcción (006)",739,7,284,307,126,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1702,45,456,657,428,116
"Venta, mant.y rep. veh.autom.y motoc. (008)",79,,41,24,13,1
"Comercio al por mayor (009)",125,6,32,52,28,7
"Comercio al por menor (010)",1498,39,383,581,387,108
"Hoteles y restaurantes (011)",459,24,126,174,114,21
"Trans., almac. y comunicaciones (012)",655,3,306,226,114,6
"Intermediación financiera (013)",26,,10,14,2,
"Activid.inmobil., empres. y alquileres (014)",139,4,69,43,19,4
"Admin.pub. y defensa; p. segur.soc afil (015)",429,,158,180,87,4
"Enseñanza (016)",848,,119,491,237,1
"Servicios sociales y de salud (017)",215,,49,95,66,5
"Otras activ. serv.comun.soc y personales (018)",179,,69,65,38,7
"Hogares privados con servicio doméstico (019)",944,41,398,252,200,53
"Actividad economica no especificada (021)",692,5,245,209,169,64
"Desocupado (022)",649,48,335,148,94,24
"Hombres (023)",24143,1040,9064,7527,5145,1367
"Agric., ganadería, caza y silvicultura (024)",19710,961,7555,5838,4168,1188
"Pesca (025)",3,,1,1,1,
"Explotación de minas y canteras (026)",4,,2,1,,1
"Industrias manufactureras (027)",368,6,115,130,86,31
"Suministro de electricidad, gas y agua (028)",38,,17,9,12,
"Construcción (029)",723,6,274,303,125,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",846,25,230,304,218,69
"Venta, mant.y rep. veh.autom.y motoc. (031)",73,,39,21,12,1
"Comercio al por mayor (032)",60,2,15,25,16,2
"Comercio al por menor (033)",713,23,176,258,190,66
"Hoteles y restaurantes (034)",76,8,20,23,20,5
"Trans., almac. y comunicaciones (035)",621,2,279,223,111,6
"Intermediación financiera (036)",15,,6,8,1,
"Activid.inmobil., empres. y alquileres (037)",106,,55,33,14,4
"Admin.pub. y defensa; p. segur.soc afil (038)",304,,97,131,72,4
"Enseñanza (039)",448,,54,258,135,1
"Servicios sociales y de salud (040)",102,,18,40,42,2
