"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia QUISPICANCHI",,,,,,,,,
"Viviendas particulares (001)",11244,1637,846,306,797,123,116,159,7260
"Ocupantes presentes (002)",47199,7409,3668,1337,3097,502,443,703,30040
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",10946,1599,822,299,788,123,114,157,7044
"Ocupantes presentes (005)",46093,7241,3580,1318,3074,502,439,699,29240
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",19,10,3,,,,,,6
"Ocupantes presentes (008)",76,52,6,,,,,,18
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",25,9,8,,,,2,2,4
"Ocupantes presentes (011)",95,46,28,,,,4,4,13
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",53,14,9,7,4,,,,19
"Ocupantes presentes (014)",191,55,42,19,13,,,,62
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",191,2,2,,4,,,,183
"Ocupantes presentes (017)",725,9,7,,9,,,,700
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2,1,,,,,,,1
"Ocupantes presentes (020)",5,4,,,,,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",8,2,2,,1,,,,3
"Ocupantes presentes (023)",14,2,5,,1,,,,6
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",5275,1104,676,235,431,112,102,104,2511
"Ocupantes presentes (029)",21724,4851,2932,1030,1741,447,385,436,9902
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",5169,1068,654,228,426,112,100,102,2479
"Ocupantes presentes (032)",21346,4692,2851,1011,1727,447,381,432,9805
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",19,10,3,,,,,,6
"Ocupantes presentes (035)",76,52,6,,,,,,18
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",25,9,8,,,,2,2,4
"Ocupantes presentes (038)",95,46,28,,,,4,4,13
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",53,14,9,7,4,,,,19
"Ocupantes presentes (041)",191,55,42,19,13,,,,62
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2,1,,,,,,,1
"Ocupantes presentes (047)",5,4,,,,,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",7,2,2,,1,,,,2
"Ocupantes presentes (050)",11,2,5,,1,,,,3
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",5969,533,170,71,366,11,14,55,4749
"Ocupantes presentes (056)",25475,2558,736,307,1356,55,58,267,20138
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",5777,531,168,71,362,11,14,55,4565
"Ocupantes presentes (059)",24747,2549,729,307,1347,55,58,267,19435
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",191,2,2,,4,,,,183
"Ocupantes presentes (071)",725,9,7,,9,,,,700
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",3,,,,,,,,3
"Otro tipo",,,,,,,,,
