"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia COTABAMBAS (000)",7522,4915,1267,469,871
"Sin nivel (001)",1316,1013,255,33,15
"Educación inicial (002)",17,14,2,,1
"Primaria (003)",2616,2052,418,79,67
"Secundaria (004)",1992,1341,275,87,289
"Superior no univ. incompleta (005)",240,106,36,26,72
"Superior no univ. completa (006)",695,234,163,120,178
"Superior univ. incompleta (007)",100,36,13,10,41
"Superior univ. completa (008)",546,119,105,114,208
"De 06 a 14 años (010)",144,115,28,1,
"Sin nivel (011)",6,4,2,,
"Educación inicial (012)",7,6,1,,
"Primaria (013)",104,84,20,,
"Secundaria (014)",27,21,5,1,
"De 15 a 29 años (020)",2089,1265,395,138,291
"Sin nivel (021)",166,113,45,6,2
"Educación inicial (022)",3,3,,,
"Primaria (023)",574,405,121,25,23
"Secundaria (024)",861,592,127,42,100
"Superior no univ. incompleta (025)",106,50,14,14,28
"Superior no univ. completa (026)",223,66,61,28,68
"Superior univ. incompleta (027)",25,11,4,,10
"Superior univ. completa (028)",131,25,23,23,60
"De 30 a 44 años (030)",2860,1714,478,217,451
"Sin nivel (031)",379,275,91,6,7
"Educación inicial (032)",7,5,1,,1
"Primaria (033)",907,713,133,34,27
"Secundaria (034)",762,486,95,34,147
"Superior no univ. incompleta (035)",103,40,14,9,40
"Superior no univ. completa (036)",348,115,78,63,92
"Superior univ. incompleta (037)",49,18,3,8,20
"Superior univ. completa (038)",305,62,63,63,117
"De 45 a 64 años (040)",1849,1326,299,102,122
"Sin nivel (041)",493,392,81,15,5
"Primaria (043)",780,627,119,19,15
"Secundaria (044)",302,207,44,10,41
"Superior no univ. incompleta (045)",29,15,8,2,4
"Superior no univ. completa (046)",116,49,23,27,17
"Superior univ. incompleta (047)",24,7,6,2,9
"Superior univ. completa (048)",105,29,18,27,31
"De 65 y más años (050)",580,495,67,11,7
"Sin nivel (051)",272,229,36,6,1
"Primaria (053)",251,223,25,1,2
"Secundaria (054)",40,35,4,,1
"Superior no univ. incompleta (055)",2,1,,1,
"Superior no univ. completa (056)",8,4,1,2,1
"Superior univ. incompleta (057)",2,,,,2
"Superior univ. completa (058)",5,3,1,1,
,,,,,
"URBANA (060)",3456,1885,482,327,762
