"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CELENDIN (000)",76220,24684,4193,823,46568
"Hombres (001)",37326,11556,2015,434,23351
"Mujeres (002)",38894,13128,2178,389,23217
"PEA (003)",25346,4790,1806,279,18488
"Hombres (004)",19235,3458,997,200,14595
"Mujeres (005)",6111,1332,809,79,3893
"Ocupada (006)",23866,4498,1770,272,17343
"Hombres (007)",18144,3276,976,195,13712
"Mujeres (008)",5722,1222,794,77,3631
"Desocupada (009)",1480,292,36,7,1145
"Hombres (010)",1091,182,21,5,883
"Mujeres (011)",389,110,15,2,262
"No PEA (012)",50874,19894,2387,544,28080
"Hombres (013)",18091,8098,1018,234,8756
"Mujeres (014)",32783,11796,1369,310,19324
,,,,,
"URBANA (018)",19593,3484,3113,466,12549
"Hombres (019)",9381,1586,1466,257,6083
"Mujeres (020)",10212,1898,1647,209,6466
"PEA (021)",7664,760,1436,199,5280
"Hombres (022)",4691,415,729,138,3418
"Mujeres (023)",2973,345,707,61,1862
"Ocupada (024)",7208,713,1416,194,4896
"Hombres (025)",4369,388,720,134,3136
"Mujeres (026)",2839,325,696,60,1760
"Desocupada (027)",456,47,20,5,384
"Hombres (028)",322,27,9,4,282
"Mujeres (029)",134,20,11,1,102
"No PEA (030)",11929,2724,1677,267,7269
"Hombres (031)",4690,1171,737,119,2665
"Mujeres (032)",7239,1553,940,148,4604
,,,,,
"RURAL (036)",56627,21200,1080,357,34019
"Hombres (037)",27945,9970,549,177,17268
"Mujeres (038)",28682,11230,531,180,16751
"PEA (039)",17682,4030,370,80,13208
"Hombres (040)",14544,3043,268,62,11177
"Mujeres (041)",3138,987,102,18,2031
"Ocupada (042)",16658,3785,354,78,12447
"Hombres (043)",13775,2888,256,61,10576
"Mujeres (044)",2883,897,98,17,1871
"Desocupada (045)",1024,245,16,2,761
"Hombres (046)",769,155,12,1,601
"Mujeres (047)",255,90,4,1,160
"No PEA (048)",38945,17170,710,277,20811
"Hombres (049)",13401,6927,281,115,6091
"Mujeres (050)",25544,10243,429,162,14720
