"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CORONGO (000)",8329,119,2612,1918,1520,1332,828
"Hombres (001)",4264,57,1355,1016,774,672,390
"Mujeres (002)",4065,62,1257,902,746,660,438
"Viviendas particulares (003)",8310,119,2612,1912,1513,1328,826
"Hombres (004)",4249,57,1355,1011,767,669,390
"Mujeres (005)",4061,62,1257,901,746,659,436
"Viviendas colectivas (006)",12,,,3,5,2,2
"Hombres (007)",9,,,3,5,1,
"Mujeres (008)",3,,,,,1,2
"Otro tipo (009)",7,,,3,2,2,
"Hombres (010)",6,,,2,2,2,
"Mujeres (011)",1,,,1,,,
,,,,,,,
"URBANA (012)",4113,54,1150,872,798,732,507
"Hombres (013)",2116,28,614,454,424,367,229
"Mujeres (014)",1997,26,536,418,374,365,278
"Viviendas particulares (015)",4094,54,1150,866,791,728,505
"Hombres (016)",2101,28,614,449,417,364,229
"Mujeres (017)",1993,26,536,417,374,364,276
"Viviendas colectivas (018)",12,,,3,5,2,2
"Hombres (019)",9,,,3,5,1,
"Mujeres (020)",3,,,,,1,2
"Otro tipo (021)",7,,,3,2,2,
"Hombres (022)",6,,,2,2,2,
"Mujeres (023)",1,,,1,,,
,,,,,,,
"RURAL (024)",4216,65,1462,1046,722,600,321
"Hombres (025)",2148,29,741,562,350,305,161
"Mujeres (026)",2068,36,721,484,372,295,160
"Viviendas particulares (027)",4216,65,1462,1046,722,600,321
"Hombres (028)",2148,29,741,562,350,305,161
"Mujeres (029)",2068,36,721,484,372,295,160
