"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OYON (000)",7550,4625,677,834,1414
"Sin nivel (001)",354,316,14,10,14
"Educación inicial (002)",7,4,2,1,
"Primaria (003)",1736,1441,108,70,117
"Secundaria (004)",2944,1840,286,328,490
"Superior no univ. incompleta (005)",551,271,38,76,166
"Superior no univ. completa (006)",630,253,58,105,214
"Superior univ. incompleta (007)",325,174,27,30,94
"Superior univ. completa (008)",1003,326,144,214,319
"De 06 a 14 años (010)",79,72,3,3,1
"Sin nivel (011)",1,1,,,
"Primaria (013)",49,46,1,2,
"Secundaria (014)",29,25,2,1,1
"De 15 a 29 años (020)",2378,1412,244,287,435
"Sin nivel (021)",28,22,4,1,1
"Educación inicial (022)",5,3,1,1,
"Primaria (023)",212,173,18,8,13
"Secundaria (024)",1305,881,143,142,139
"Superior no univ. incompleta (025)",235,123,18,29,65
"Superior no univ. completa (026)",250,90,23,49,88
"Superior univ. incompleta (027)",104,55,6,8,35
"Superior univ. completa (028)",239,65,31,49,94
"De 30 a 44 años (030)",2804,1434,278,394,698
"Sin nivel (031)",83,70,3,4,6
"Educación inicial (032)",2,1,1,,
"Primaria (033)",537,419,40,32,46
"Secundaria (034)",1026,551,93,136,246
"Superior no univ. incompleta (035)",215,81,16,35,83
"Superior no univ. completa (036)",269,98,27,47,97
"Superior univ. incompleta (037)",138,59,15,17,47
"Superior univ. completa (038)",534,155,83,123,173
"De 45 a 64 años (040)",1753,1207,136,140,270
"Sin nivel (041)",132,118,4,4,6
"Primaria (043)",640,526,42,20,52
"Secundaria (044)",518,323,43,49,103
"Superior no univ. incompleta (045)",86,52,4,12,18
"Superior no univ. completa (046)",99,53,8,9,29
"Superior univ. incompleta (047)",71,49,6,4,12
"Superior univ. completa (048)",207,86,29,42,50
"De 65 y más años (050)",536,500,16,10,10
"Sin nivel (051)",110,105,3,1,1
"Primaria (053)",298,277,7,8,6
"Secundaria (054)",66,60,5,,1
"Superior no univ. incompleta (055)",15,15,,,
"Superior no univ. completa (056)",12,12,,,
"Superior univ. incompleta (057)",12,11,,1,
"Superior univ. completa (058)",23,20,1,,2
,,,,,
"URBANA (060)",4175,2787,373,460,555
"Sin nivel (061)",202,180,9,2,11
