"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ABANCAY (000)",31552,21015,4072,2060,4405
"Empleado (001)",9059,2105,1345,1573,4036
"Obrero (002)",4892,3067,1051,413,361
"Trabajador independiente (003)",12861,11753,1108,,
"Empleador o patrono (004)",549,418,103,24,4
"Trabajador familiar no remunerado (005)",3410,2891,465,50,4
"Trabajador del hogar (006)",781,781,,,
"De 06 a 14 años (008)",734,649,72,11,2
"Empleado (009)",63,53,7,2,1
"Obrero (010)",94,73,16,4,1
"Trabajador independiente (011)",162,146,16,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",340,302,33,5,
"Trabajador del hogar (014)",74,74,,,
"De 15 a 29 años (016)",9617,6792,1321,553,951
"Empleado (017)",2750,1107,450,374,819
"Obrero (018)",1815,1130,405,150,130
"Trabajador independiente (019)",3172,2899,273,,
"Empleador o patrono (020)",142,109,26,6,1
"Trabajador familiar no remunerado (021)",1234,1043,167,23,1
"Trabajador del hogar (022)",504,504,,,
"De 30 a 44 años (024)",11780,7092,1566,937,2185
"Empleado (025)",4124,672,647,761,2044
"Obrero (026)",1632,990,351,155,136
"Trabajador independiente (027)",4824,4401,423,,
"Empleador o patrono (028)",203,156,35,9,3
"Trabajador familiar no remunerado (029)",861,737,110,12,2
"Trabajador del hogar (030)",136,136,,,
"De 45 a 64 años (032)",7687,4993,947,525,1222
"Empleado (033)",2043,255,233,418,1137
"Obrero (034)",1115,698,242,91,84
"Trabajador independiente (035)",3617,3295,322,,
"Empleador o patrono (036)",155,115,33,7,
"Trabajador familiar no remunerado (037)",697,570,117,9,1
"Trabajador del hogar (038)",60,60,,,
"De 65 y más años (040)",1734,1489,166,34,45
"Empleado (041)",79,18,8,18,35
"Obrero (042)",236,176,37,13,10
"Trabajador independiente (043)",1086,1012,74,,
"Empleador o patrono (044)",48,37,9,2,
"Trabajador familiar no remunerado (045)",278,239,38,1,
"Trabajador del hogar (046)",7,7,,,
,,,,,
"URBANA (048)",22085,13482,2507,1897,4199
"Empleado (049)",8595,1939,1261,1512,3883
"Obrero (050)",2817,1679,497,332,309
"Trabajador independiente (051)",8252,7728,524,,
"Empleador o patrono (052)",400,303,70,24,3
