"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARHUAZ (000)",12889,10971,833,441,644
"Agric., ganadería, caza y silvicultura (001)",7437,7186,214,31,6
"Pesca (002)",4,4,,,
"Explotación de minas y canteras (003)",146,35,42,34,35
"Industrias manufactureras (004)",463,393,45,17,8
"Suministro de electricidad, gas y agua (005)",11,3,3,2,3
"Construcción (006)",540,301,156,73,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1241,1170,63,8,
"Venta, mant.y rep. veh.autom y motoc. (008)",86,72,12,2,
"Comercio al por mayor (009)",53,45,7,1,
"Comercio al por menor (010)",1102,1053,44,5,
"Hoteles y restaurantes (011)",358,328,23,6,1
"Trans., almac. y comunicaciones (012)",595,509,54,16,16
"Intermediación financiera (013)",4,1,,,3
"Activid.inmobil., empres. y alquileres (014)",202,111,35,41,15
"Admin.pub. y defensa; p. segur soc.afil (015)",396,,,,396
"Enseñanza (016)",508,132,139,178,59
"Servicios sociales y de salud (017)",124,40,3,3,78
"Otras activ. serv.comun.soc y personales (018)",249,172,43,22,12
"Hogares privados con servicio doméstico (019)",312,312,,,
"Actividad economica no especificada (021)",299,274,13,10,2
"Hombres (022)",9533,8094,660,330,449
"Agric., ganadería, caza y silvicultura (023)",6213,6006,178,25,4
"Pesca (024)",4,4,,,
"Explotación de minas y canteras (025)",140,35,39,31,35
"Industrias manufactureras (026)",363,306,35,14,8
"Suministro de electricidad, gas y agua (027)",10,3,2,2,3
"Construcción (028)",521,297,150,65,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",558,506,46,6,
"Venta, mant.y rep. veh.autom y motoc. (030)",77,65,11,1,
"Comercio al por mayor (031)",32,26,5,1,
"Comercio al por menor (032)",449,415,30,4,
"Hoteles y restaurantes (033)",111,97,11,3,
"Trans., almac. y comunicaciones (034)",566,489,50,13,14
"Intermediación financiera (035)",3,1,,,2
"Activid.inmobil., empres. y alquileres (036)",155,85,28,29,13
"Admin.pub. y defensa; p. segur soc.afil (037)",295,,,,295
"Enseñanza (038)",271,52,77,111,31
"Servicios sociales y de salud (039)",56,28,2,2,24
"Otras activ. serv.comun.soc y personales (040)",167,98,37,22,10
"Hogares privados con servicio doméstico (041)",7,7,,,
"Actividad economica no especificada (043)",93,80,5,7,1
