"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia UCAYALI (000)",11487,6833,4654
"Red pública de desague dentro de la vivienda (001)",623,597,26
"Red pública de desague fuera de la vivienda (002)",267,234,33
"Pozo séptico (003)",851,619,232
"Pozo ciego o negro / letrina (004)",6174,4015,2159
"Río, acequia o canal (005)",448,250,198
"No tiene (006)",3124,1118,2006
,,,
"URBANA (008)",6199,4590,1609
"Red pública de desague dentro de la vivienda (009)",610,592,18
"Red pública de desague fuera de la vivienda (010)",248,218,30
"Pozo séptico (011)",649,491,158
"Pozo ciego o negro / letrina (012)",3710,2682,1028
"Río, acequia o canal (013)",223,152,71
"No tiene (014)",759,455,304
,,,
"RURAL (016)",5288,2243,3045
"Red pública de desague dentro de la vivienda (017)",13,5,8
"Red pública de desague fuera de la vivienda (018)",19,16,3
"Pozo séptico (019)",202,128,74
"Pozo ciego o negro / letrina (020)",2464,1333,1131
"Río, acequia o canal (021)",225,98,127
"No tiene (022)",2365,663,1702
