"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CAMANA (000)",52061,907,13950,14055,11406,8536,3207
"Casa independiente (001)",46744,786,12628,12173,10117,7942,3098
"Departamento en edificio (002)",782,11,269,129,254,102,17
"Vivienda en quinta (003)",372,9,102,115,83,50,13
"Vivienda en casa de vecindad (004)",629,22,180,201,155,55,16
"Choza o cabaña (005)",3054,70,598,1305,693,336,52
"Vivienda improvisada (006)",367,5,140,103,79,31,9
"Local no destinado para hab.humana (007)",40,2,12,5,11,8,2
"Otro tipo (008)",73,2,21,24,14,12,
,,,,,,,
"URBANA (009)",43808,744,12011,11234,9588,7415,2816
"Casa independiente (010)",41576,695,11293,10662,9000,7167,2759
"Departamento en edificio (011)",782,11,269,129,254,102,17
"Vivienda en quinta (012)",372,9,102,115,83,50,13
"Vivienda en casa de vecindad (013)",629,22,180,201,155,55,16
"Vivienda improvisada (015)",367,5,140,103,79,31,9
"Local no destinado para hab.humana (016)",31,1,10,3,8,7,2
"Otro tipo (017)",51,1,17,21,9,3,
,,,,,,,
"RURAL (018)",8253,163,1939,2821,1818,1121,391
"Casa independiente (019)",5168,91,1335,1511,1117,775,339
"Choza o cabaña (023)",3054,70,598,1305,693,336,52
"Local no destinado para hab.humana (025)",9,1,2,2,3,1,
"Otro tipo (026)",22,1,4,3,5,9,
