"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHUCUITO (000)",30747,180,9792,11016,3699,1175,476,189,33,,4187
"Catolica (001)",21362,118,6854,7711,2491,796,327,137,27,,2901
"Cristiana / Evangelica (002)",4146,23,1320,1508,531,170,71,25,4,,494
"Otra (003)",4348,34,1362,1503,571,170,64,19,2,,623
"Ninguna (004)",891,5,256,294,106,39,14,8,,,169
,,,,,,,,,,,
"URBANA (006)",8215,42,2294,2693,1126,385,149,55,9,,1462
"Catolica (007)",6051,30,1728,1980,811,271,113,45,8,,1065
"Cristiana / Evangelica (008)",986,6,264,333,138,52,16,5,,,172
"Otra (009)",817,5,202,262,130,43,15,2,1,,157
"Ninguna (010)",361,1,100,118,47,19,5,3,,,68
,,,,,,,,,,,
"RURAL (012)",22532,138,7498,8323,2573,790,327,134,24,,2725
"Catolica (013)",15311,88,5126,5731,1680,525,214,92,19,,1836
"Cristiana / Evangelica (014)",3160,17,1056,1175,393,118,55,20,4,,322
"Otra (015)",3531,29,1160,1241,441,127,49,17,1,,466
"Ninguna (016)",530,4,156,176,59,20,9,5,,,101
