"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CORONGO (000)",7870,1302,194,3637,1974,191,237,110,225
"Jefe o Jefa (001)",1939,274,2,969,411,49,93,26,115
"Esposa(o)/ compa¤era(o) (002)",1323,322,,658,222,22,44,18,37
"Hijo(a)/ hijastro(a) (003)",3132,385,145,1411,997,74,54,32,34
"Yerno/ nuera (004)",144,1,,57,59,8,11,3,5
"Nieto(a) (005)",473,100,34,229,94,5,2,7,2
"Padres/ suegros (006)",153,104,,48,1,,,,
"Otro(a) pariente (007)",487,99,9,212,127,13,12,11,4
"Trabajador(a) del hogar (008)",8,3,,4,1,,,,
"Pensionista (009)",28,,,,6,,3,6,13
"Otro(a) no pariente (010)",183,14,4,49,56,20,18,7,15
"Hombres (012)",4017,450,106,1835,1175,110,141,57,143
"Jefe o Jefa (013)",1532,141,1,791,366,42,82,16,93
"Esposa(o)/ compa¤era(o) (014)",68,5,,37,12,1,5,1,7
"Hijo(a)/ hijastro(a) (015)",1644,192,77,686,581,38,31,20,19
"Yerno/ nuera (016)",76,1,,26,36,5,2,3,3
"Nieto(a) (017)",253,48,20,123,55,4,,2,1
"Padres/ suegros (018)",44,21,,23,,,,,
"Otro(a) pariente (019)",259,35,5,118,79,5,7,7,3
"Trabajador(a) del hogar (020)",1,,,1,,,,,
"Pensionista (021)",24,,,,6,,3,6,9
"Otro(a) no pariente (022)",116,7,3,30,40,15,11,2,8
"Mujeres (024)",3853,852,88,1802,799,81,96,53,82
"Jefe o Jefa (025)",407,133,1,178,45,7,11,10,22
"Esposa(o)/ compa¤era(o) (026)",1255,317,,621,210,21,39,17,30
"Hijo(a)/ hijastro(a) (027)",1488,193,68,725,416,36,23,12,15
"Yerno/ nuera (028)",68,,,31,23,3,9,,2
"Nieto(a) (029)",220,52,14,106,39,1,2,5,1
"Padres/ suegros (030)",109,83,,25,1,,,,
"Otro(a) pariente (031)",228,64,4,94,48,8,5,4,1
"Trabajador(a) del hogar (032)",7,3,,3,1,,,,
"Pensionista (033)",4,,,,,,,,4
"Otro(a) no pariente (034)",67,7,1,19,16,5,7,5,7
,,,,,,,,,
"URBANA (036)",3896,520,118,1649,1016,126,184,95,188
"Jefe o Jefa (037)",1038,113,1,467,230,34,73,24,96
"Esposa(o)/ compa¤era(o) (038)",655,124,,300,125,21,34,16,35
"Hijo(a)/ hijastro(a) (039)",1413,139,92,579,473,40,39,24,27
"Yerno/ nuera (040)",65,,,23,23,4,9,3,3
"Nieto(a) (041)",223,43,18,100,50,2,2,7,1
"Padres/ suegros (042)",89,54,,34,1,,,,
"Otro(a) pariente (043)",262,38,4,109,79,9,10,9,4
"Trabajador(a) del hogar (044)",4,1,,2,1,,,,
"Pensionista (045)",28,,,,6,,3,6,13
"Otro(a) no pariente (046)",119,8,3,35,28,16,14,6,9
"Hombres (048)",1995,166,62,838,593,65,105,48,118
"Jefe o Jefa (049)",784,47,1,351,198,30,64,15,78
