"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia GRAN CHIMU (000)",28432,8293,2435,654,17080
"Quechua (001)",13,,5,2,6
"Aymara (002)",4,2,,,2
"Asháninka (003)",3,3,,,
"Otra lengua nativa (004)",8,4,1,,3
"Castellano (005)",28360,8276,2426,652,17036
"Idioma Extranjero (006)",3,,1,,2
"Es Sordomudo/a (007)",41,8,2,,31
"Hombres (009)",15372,4010,1577,425,9382
"Quechua (010)",10,,5,1,4
"Aymara (011)",3,2,,,1
"Asháninka (012)",2,2,,,
"Otra lengua nativa (013)",5,2,1,,2
"Castellano (014)",15329,4002,1569,424,9356
"Idioma Extranjero (015)",1,,1,,
"Es Sordomudo/a (016)",22,2,1,,19
"Mujeres (018)",13060,4283,858,229,7698
"Quechua (019)",3,,,1,2
"Aymara (020)",1,,,,1
"Asháninka (021)",1,1,,,
"Otra lengua nativa (022)",3,2,,,1
"Castellano (023)",13031,4274,857,228,7680
"Idioma Extranjero (024)",2,,,,2
"Es Sordomudo/a (025)",19,6,1,,12
,,,,,
"URBANA (027)",6204,1706,1026,227,3263
"Quechua (028)",5,,,2,3
"Aymara (029)",1,1,,,
"Otra lengua nativa (031)",6,3,,,3
"Castellano (032)",6183,1701,1025,225,3250
"Idioma Extranjero (033)",2,,,,2
"Es Sordomudo/a (034)",7,1,1,,5
"Hombres (036)",3094,796,523,133,1653
"Quechua (037)",3,,,1,2
"Aymara (038)",1,1,,,
"Otra lengua nativa (040)",4,2,,,2
"Castellano (041)",3084,793,523,132,1647
"Es Sordomudo/a (043)",2,,,,2
"Mujeres (045)",3110,910,503,94,1610
"Quechua (046)",2,,,1,1
"Otra lengua nativa (049)",2,1,,,1
"Castellano (050)",3099,908,502,93,1603
"Idioma Extranjero (051)",2,,,,2
"Es Sordomudo/a (052)",5,1,1,,3
,,,,,
"RURAL (054)",22228,6587,1409,427,13817
"Quechua (055)",8,,5,,3
"Aymara (056)",3,1,,,2
"Asháninka (057)",3,3,,,
"Otra lengua nativa (058)",2,1,1,,
"Castellano (059)",22177,6575,1401,427,13786
"Idioma Extranjero (060)",1,,1,,
"Es Sordomudo/a (061)",34,7,1,,26
"Hombres (063)",12278,3214,1054,292,7729
"Quechua (064)",7,,5,,2
"Aymara (065)",2,1,,,1
"Asháninka (066)",2,2,,,
"Otra lengua nativa (067)",1,,1,,
"Castellano (068)",12245,3209,1046,292,7709
"Idioma Extranjero (069)",1,,1,,
"Es Sordomudo/a (070)",20,2,1,,17
"Mujeres (072)",9950,3373,355,135,6088
"Quechua (073)",1,,,,1
"Aymara (074)",1,,,,1
"Asháninka (075)",1,1,,,
"Otra lengua nativa (076)",1,1,,,
"Castellano (077)",9932,3366,355,135,6077
"Es Sordomudo/a (079)",14,5,,,9
