"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia VICTOR FAJARDO (000)",15543,15196,347
"Hombres (001)",7271,7152,119
"Mujeres (002)",8272,8044,228
"De 18 a 29 años (003)",3836,3722,114
"Hombres (004)",1890,1820,70
"Mujeres (005)",1946,1902,44
"De 30 a 44 años (006)",4446,4422,24
"Hombres (007)",2241,2232,9
"Mujeres (008)",2205,2190,15
"De 45 a 64 años (009)",4156,4114,42
"Hombres (010)",1839,1832,7
"Mujeres (011)",2317,2282,35
"De 65 y más años (012)",3105,2938,167
"Hombres (013)",1301,1268,33
"Mujeres (014)",1804,1670,134
,,,
"URBANA (015)",11549,11333,216
"Hombres (016)",5467,5392,75
"Mujeres (017)",6082,5941,141
"De 18 a 29 años (018)",2906,2828,78
"Hombres (019)",1463,1415,48
"Mujeres (020)",1443,1413,30
"De 30 a 44 años (021)",3444,3427,17
"Hombres (022)",1748,1743,5
"Mujeres (023)",1696,1684,12
"De 45 a 64 años (024)",3049,3028,21
"Hombres (025)",1372,1369,3
"Mujeres (026)",1677,1659,18
"De 65 y más años (027)",2150,2050,100
"Hombres (028)",884,865,19
"Mujeres (029)",1266,1185,81
,,,
"RURAL (030)",3994,3863,131
"Hombres (031)",1804,1760,44
"Mujeres (032)",2190,2103,87
"De 18 a 29 años (033)",930,894,36
"Hombres (034)",427,405,22
"Mujeres (035)",503,489,14
"De 30 a 44 años (036)",1002,995,7
"Hombres (037)",493,489,4
"Mujeres (038)",509,506,3
"De 45 a 64 años (039)",1107,1086,21
"Hombres (040)",467,463,4
"Mujeres (041)",640,623,17
"De 65 y más años (042)",955,888,67
"Hombres (043)",417,403,14
"Mujeres (044)",538,485,53
