"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia LAMBAYEQUE (000)",151997,146075,5922
"Hombres (001)",74123,71720,2403
"Mujeres (002)",77874,74355,3519
"De 18 a 29 años (003)",51248,48588,2660
"Hombres (004)",25222,23833,1389
"Mujeres (005)",26026,24755,1271
"De 30 a 44 años (006)",46829,46037,792
"Hombres (007)",21995,21706,289
"Mujeres (008)",24834,24331,503
"De 45 a 64 años (009)",37075,36140,935
"Hombres (010)",18267,18010,257
"Mujeres (011)",18808,18130,678
"De 65 y más años (012)",16845,15310,1535
"Hombres (013)",8639,8171,468
"Mujeres (014)",8206,7139,1067
,,,
"URBANA (015)",77923,75807,2116
"Hombres (016)",36718,35785,933
"Mujeres (017)",41205,40022,1183
"De 18 a 29 años (018)",26039,24884,1155
"Hombres (019)",12541,11921,620
"Mujeres (020)",13498,12963,535
"De 30 a 44 años (021)",24070,23844,226
"Hombres (022)",10781,10687,94
"Mujeres (023)",13289,13157,132
"De 45 a 64 años (024)",19480,19243,237
"Hombres (025)",9290,9210,80
"Mujeres (026)",10190,10033,157
"De 65 y más años (027)",8334,7836,498
"Hombres (028)",4106,3967,139
"Mujeres (029)",4228,3869,359
,,,
"RURAL (030)",74074,70268,3806
"Hombres (031)",37405,35935,1470
"Mujeres (032)",36669,34333,2336
"De 18 a 29 años (033)",25209,23704,1505
"Hombres (034)",12681,11912,769
"Mujeres (035)",12528,11792,736
"De 30 a 44 años (036)",22759,22193,566
"Hombres (037)",11214,11019,195
"Mujeres (038)",11545,11174,371
"De 45 a 64 años (039)",17595,16897,698
"Hombres (040)",8977,8800,177
"Mujeres (041)",8618,8097,521
"De 65 y más años (042)",8511,7474,1037
"Hombres (043)",4533,4204,329
"Mujeres (044)",3978,3270,708
