"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUARMEY (000)",10455,2134,2997,4528,190,510,96
"Conviviente (001)",4151,675,1363,1897,72,115,29
"Separado(a) (002)",478,97,106,249,9,7,10
"Casado(a) (003)",2703,697,591,1242,65,100,8
"Viudo(a) (004)",251,28,44,161,7,8,3
"Divorciado(a) (005)",38,8,5,21,4,,
"Soltero(a) (006)",2834,629,888,958,33,280,46
"Hombres (008)",7529,1213,2543,3314,144,306,9
"Conviviente (009)",3105,401,1142,1463,58,39,2
"Separado(a) (010)",194,24,54,110,2,4,
"Casado(a) (011)",1953,432,533,907,55,25,1
"Viudo(a) (012)",126,11,30,77,2,5,1
"Divorciado(a) (013)",23,4,5,12,2,,
"Soltero(a) (014)",2128,341,779,745,25,233,5
"Mujeres (016)",2926,921,454,1214,46,204,87
"Conviviente (017)",1046,274,221,434,14,76,27
"Separado(a) (018)",284,73,52,139,7,3,10
"Casado(a) (019)",750,265,58,335,10,75,7
"Viudo(a) (020)",125,17,14,84,5,3,2
"Divorciado(a) (021)",15,4,,9,2,,
"Soltero(a) (022)",706,288,109,213,8,47,41
,,,,,,,
"URBANA (024)",7975,2015,2127,3320,165,263,85
"Conviviente (025)",3065,632,946,1329,60,71,27
"Separado(a) (026)",408,92,89,204,9,6,8
"Casado(a) (027)",2159,657,447,914,57,76,8
"Viudo(a) (028)",180,24,26,113,7,7,3
"Divorciado(a) (029)",30,7,2,17,4,,
"Soltero(a) (030)",2133,603,617,743,28,103,39
"Hombres (032)",5436,1150,1794,2240,120,123,9
"Conviviente (033)",2178,379,792,938,46,21,2
"Separado(a) (034)",155,24,46,80,2,3,
"Casado(a) (035)",1491,409,406,609,48,18,1
"Viudo(a) (036)",78,9,16,45,2,5,1
"Divorciado(a) (037)",15,3,2,8,2,,
"Soltero(a) (038)",1519,326,532,560,20,76,5
"Mujeres (040)",2539,865,333,1080,45,140,76
"Conviviente (041)",887,253,154,391,14,50,25
"Separado(a) (042)",253,68,43,124,7,3,8
"Casado(a) (043)",668,248,41,305,9,58,7
"Viudo(a) (044)",102,15,10,68,5,2,2
"Divorciado(a) (045)",15,4,,9,2,,
"Soltero(a) (046)",614,277,85,183,8,27,34
,,,,,,,
"RURAL (048)",2480,119,870,1208,25,247,11
"Conviviente (049)",1086,43,417,568,12,44,2
"Separado(a) (050)",70,5,17,45,,1,2
"Casado(a) (051)",544,40,144,328,8,24,
"Viudo(a) (052)",71,4,18,48,,1,
"Divorciado(a) (053)",8,1,3,4,,,
"Soltero(a) (054)",701,26,271,215,5,177,7
"Hombres (056)",2093,63,749,1074,24,183,
"Conviviente (057)",927,22,350,525,12,18,
"Separado(a) (058)",39,,8,30,,1,
"Casado(a) (059)",462,23,127,298,7,7,
"Viudo(a) (060)",48,2,14,32,,,
"Divorciado(a) (061)",8,1,3,4,,,
"Soltero(a) (062)",609,15,247,185,5,157,
"Mujeres (064)",387,56,121,134,1,64,11
"Conviviente (065)",159,21,67,43,,26,2
"Separado(a) (066)",31,5,9,15,,,2
"Casado(a) (067)",82,17,17,30,1,17,
"Viudo(a) (068)",23,2,4,16,,1,
"Soltero(a) (070)",92,11,24,30,,20,7
