"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia HUALLAGA (000)",14394,13547,847
"Hombres (001)",7726,7350,376
"Mujeres (002)",6668,6197,471
"De 18 a 29 años (003)",4594,4128,466
"Hombres (004)",2403,2162,241
"Mujeres (005)",2191,1966,225
"De 30 a 44 años (006)",4954,4806,148
"Hombres (007)",2680,2615,65
"Mujeres (008)",2274,2191,83
"De 45 a 64 años (009)",3414,3310,104
"Hombres (010)",1909,1878,31
"Mujeres (011)",1505,1432,73
"De 65 y más años (012)",1432,1303,129
"Hombres (013)",734,695,39
"Mujeres (014)",698,608,90
,,,
"URBANA (015)",8363,8138,225
"Hombres (016)",4298,4207,91
"Mujeres (017)",4065,3931,134
"De 18 a 29 años (018)",2106,2002,104
"Hombres (019)",1067,1015,52
"Mujeres (020)",1039,987,52
"De 30 a 44 años (021)",2983,2959,24
"Hombres (022)",1518,1507,11
"Mujeres (023)",1465,1452,13
"De 45 a 64 años (024)",2210,2183,27
"Hombres (025)",1195,1186,9
"Mujeres (026)",1015,997,18
"De 65 y más años (027)",1064,994,70
"Hombres (028)",518,499,19
"Mujeres (029)",546,495,51
,,,
"RURAL (030)",6031,5409,622
"Hombres (031)",3428,3143,285
"Mujeres (032)",2603,2266,337
"De 18 a 29 años (033)",2488,2126,362
"Hombres (034)",1336,1147,189
"Mujeres (035)",1152,979,173
"De 30 a 44 años (036)",1971,1847,124
"Hombres (037)",1162,1108,54
"Mujeres (038)",809,739,70
"De 45 a 64 años (039)",1204,1127,77
"Hombres (040)",714,692,22
"Mujeres (041)",490,435,55
"De 65 y más años (042)",368,309,59
"Hombres (043)",216,196,20
"Mujeres (044)",152,113,39
