"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia SIHUAS (000)",16509,15540,969
"Hombres (001)",7894,7617,277
"Mujeres (002)",8615,7923,692
"De 18 a 29 años (003)",4863,4730,133
"Hombres (004)",2436,2367,69
"Mujeres (005)",2427,2363,64
"De 30 a 44 años (006)",5091,5012,79
"Hombres (007)",2394,2364,30
"Mujeres (008)",2697,2648,49
"De 45 a 64 años (009)",4203,3981,222
"Hombres (010)",2021,1969,52
"Mujeres (011)",2182,2012,170
"De 65 y más años (012)",2352,1817,535
"Hombres (013)",1043,917,126
"Mujeres (014)",1309,900,409
,,,
"URBANA (015)",4707,4543,164
"Hombres (016)",2279,2231,48
"Mujeres (017)",2428,2312,116
"De 18 a 29 años (018)",1439,1408,31
"Hombres (019)",714,698,16
"Mujeres (020)",725,710,15
"De 30 a 44 años (021)",1559,1549,10
"Hombres (022)",738,731,7
"Mujeres (023)",821,818,3
"De 45 a 64 años (024)",1130,1103,27
"Hombres (025)",563,556,7
"Mujeres (026)",567,547,20
"De 65 y más años (027)",579,483,96
"Hombres (028)",264,246,18
"Mujeres (029)",315,237,78
,,,
"RURAL (030)",11802,10997,805
"Hombres (031)",5615,5386,229
"Mujeres (032)",6187,5611,576
"De 18 a 29 años (033)",3424,3322,102
"Hombres (034)",1722,1669,53
"Mujeres (035)",1702,1653,49
"De 30 a 44 años (036)",3532,3463,69
"Hombres (037)",1656,1633,23
"Mujeres (038)",1876,1830,46
"De 45 a 64 años (039)",3073,2878,195
"Hombres (040)",1458,1413,45
"Mujeres (041)",1615,1465,150
"De 65 y más años (042)",1773,1334,439
"Hombres (043)",779,671,108
"Mujeres (044)",994,663,331
