"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LAMPA (000)",13785,125,3998,4649,3817,1196
"Agric., ganadería, caza y silvicultura (001)",7022,74,1659,2044,2285,960
"Pesca (002)",101,2,50,25,23,1
"Explotación de minas y canteras (003)",1245,2,577,541,123,2
"Industrias manufactureras (004)",1073,8,383,358,262,62
"Suministro de electricidad, gas y agua (005)",4,,1,3,,
"Construcción (006)",650,7,230,253,148,12
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",989,7,287,366,257,72
"Venta, mant.y rep. veh.autom.y motoc. (008)",90,1,37,30,19,3
"Comercio al por mayor (009)",47,,14,15,15,3
"Comercio al por menor (010)",852,6,236,321,223,66
"Hoteles y restaurantes (011)",205,10,73,68,42,12
"Trans., almac. y comunicaciones (012)",483,3,146,230,102,2
"Intermediación financiera (013)",2,,1,,1,
"Activid.inmobil., empres. y alquileres (014)",183,,53,90,37,3
"Admin.pub. y defensa; p. segur.soc.afil (015)",365,,119,139,100,7
"Enseñanza (016)",674,,81,313,273,7
"Servicios sociales y de salud (017)",117,,36,50,31,
"Otras activ. serv.comun.soc y personales (018)",97,1,52,28,10,6
"Hogares privados con servicio doméstico (019)",138,7,87,21,17,6
"Actividad economica no especificada (021)",437,4,163,120,106,44
"Hombres (022)",8765,62,2494,3074,2400,735
"Agric., ganadería, caza y silvicultura (023)",4240,36,931,1278,1384,611
"Pesca (024)",79,2,35,20,21,1
"Explotación de minas y canteras (025)",1227,2,568,535,120,2
"Industrias manufactureras (026)",423,1,166,128,102,26
"Suministro de electricidad, gas y agua (027)",4,,1,3,,
"Construcción (028)",635,6,226,246,145,12
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",340,3,87,121,98,31
"Venta, mant.y rep. veh.autom.y motoc. (030)",78,1,31,26,17,3
"Comercio al por mayor (031)",27,,6,9,10,2
"Comercio al por menor (032)",235,2,50,86,71,26
"Hoteles y restaurantes (033)",71,6,26,21,12,6
"Trans., almac. y comunicaciones (034)",469,2,142,226,97,2
"Intermediación financiera (035)",1,,,,1,
"Activid.inmobil., empres. y alquileres (036)",173,,48,87,35,3
"Admin.pub. y defensa; p. segur.soc.afil (037)",282,,71,119,85,7
"Enseñanza (038)",452,,36,191,219,6
"Servicios sociales y de salud (039)",64,,18,21,25,
"Otras activ. serv.comun.soc y personales (040)",61,,34,19,4,4
