"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHANCHAMAYO (000)",1752,474,1278
"Sin nivel (001)",95,19,76
"Educación inicial (002)",3,,3
"Primaria (003)",392,97,295
"Secundaria (004)",875,246,629
"Superior no univ. incompleta (005)",111,34,77
"Superior no univ. completa (006)",113,35,78
"Superior univ. incompleta (007)",60,12,48
"Superior univ. completa (008)",103,31,72
"Hombres (010)",1127,278,849
"Sin nivel (011)",52,12,40
"Educación inicial (012)",1,,1
"Primaria (013)",254,50,204
"Secundaria (014)",594,163,431
"Superior no univ. incompleta (015)",69,17,52
"Superior no univ. completa (016)",55,16,39
"Superior univ. incompleta (017)",40,7,33
"Superior univ. completa (018)",62,13,49
"Mujeres (020)",625,196,429
"Sin nivel (021)",43,7,36
"Educación inicial (022)",2,,2
"Primaria (023)",138,47,91
"Secundaria (024)",281,83,198
"Superior no univ. incompleta (025)",42,17,25
"Superior no univ. completa (026)",58,19,39
"Superior univ. incompleta (027)",20,5,15
"Superior univ. completa (028)",41,18,23
,,,
"AREA URBANA (030)",1400,359,1041
"Sin nivel (031)",69,12,57
"Educación inicial (032)",3,,3
"Primaria (033)",283,65,218
"Secundaria (034)",706,194,512
"Superior no univ. incompleta (035)",95,26,69
"Superior no univ. completa (036)",100,27,73
"Superior univ. incompleta (037)",53,9,44
"Superior univ. completa (038)",91,26,65
"Hombres (040)",887,206,681
"Sin nivel (041)",35,6,29
"Educación inicial (042)",1,,1
"Primaria (043)",180,33,147
"Secundaria (044)",471,123,348
"Superior no univ. incompleta (045)",59,14,45
"Superior no univ. completa (046)",48,13,35
"Superior univ. incompleta (047)",36,5,31
"Superior univ. completa (048)",57,12,45
"Mujeres (050)",513,153,360
"Sin nivel (051)",34,6,28
"Educación inicial (052)",2,,2
"Primaria (053)",103,32,71
"Secundaria (054)",235,71,164
"Superior no univ. incompleta (055)",36,12,24
"Superior no univ. completa (056)",52,14,38
"Superior univ. incompleta (057)",17,4,13
"Superior univ. completa (058)",34,14,20
,,,
"AREA RURAL (060)",352,115,237
"Sin nivel (061)",26,7,19
"Primaria (063)",109,32,77
"Secundaria (064)",169,52,117
"Superior no univ. incompleta (065)",16,8,8
"Superior no univ. completa (066)",13,8,5
"Superior univ. incompleta (067)",7,3,4
"Superior univ. completa (068)",12,5,7
"Hombres (070)",240,72,168
"Sin nivel (071)",17,6,11
"Primaria (073)",74,17,57
"Secundaria (074)",123,40,83
"Superior no univ. incompleta (075)",10,3,7
"Superior no univ. completa (076)",7,3,4
"Superior univ. incompleta (077)",4,2,2
"Superior univ. completa (078)",5,1,4
"Mujeres (080)",112,43,69
"Sin nivel (081)",9,1,8
"Primaria (083)",35,15,20
"Secundaria (084)",46,12,34
"Superior no univ. incompleta (085)",6,5,1
"Superior no univ. completa (086)",6,5,1
"Superior univ. incompleta (087)",3,1,2
"Superior univ. completa (088)",7,4,3
