"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAMANA (000)",22182,15670,3023,1972,1517
"Sin nivel (001)",885,642,157,82,4
"Educación inicial (002)",27,23,1,1,2
"Primaria (003)",4422,3256,704,373,89
"Secundaria (004)",8528,6425,1183,574,346
"Superior no univ. incompleta (005)",1941,1436,248,122,135
"Superior no univ. completa (006)",2940,1847,337,318,438
"Superior univ. incompleta (007)",1051,756,117,79,99
"Superior univ. completa (008)",2388,1285,276,423,404
"De 06 a 14 años (010)",171,155,9,4,3
"Sin nivel (011)",4,4,,,
"Educación inicial (012)",2,2,,,
"Primaria (013)",83,79,3,1,
"Secundaria (014)",82,70,6,3,3
"De 15 a 29 años (020)",6957,4948,1053,586,370
"Sin nivel (021)",53,38,10,4,1
"Educación inicial (022)",19,17,,1,1
"Primaria (023)",657,434,131,77,15
"Secundaria (024)",3551,2649,548,263,91
"Superior no univ. incompleta (025)",846,633,122,47,44
"Superior no univ. completa (026)",984,633,130,99,122
"Superior univ. incompleta (027)",379,278,40,31,30
"Superior univ. completa (028)",468,266,72,64,66
"De 30 a 44 años (030)",8262,5482,1242,876,662
"Sin nivel (031)",301,210,55,34,2
"Educación inicial (032)",6,4,1,,1
"Primaria (033)",1474,969,305,172,28
"Secundaria (034)",2978,2213,442,197,126
"Superior no univ. incompleta (035)",717,517,86,54,60
"Superior no univ. completa (036)",1309,786,155,152,216
"Superior univ. incompleta (037)",372,240,58,35,39
"Superior univ. completa (038)",1105,543,140,232,190
"De 45 a 64 años (040)",5698,4138,627,475,458
"Sin nivel (041)",380,262,74,43,1
"Primaria (043)",1675,1302,223,111,39
"Secundaria (044)",1725,1330,179,103,113
"Superior no univ. incompleta (045)",340,256,34,20,30
"Superior no univ. completa (046)",574,366,45,64,99
"Superior univ. incompleta (047)",279,220,16,13,30
"Superior univ. completa (048)",725,402,56,121,146
"De 65 y más años (050)",1094,947,92,31,24
"Sin nivel (051)",147,128,18,1,
"Primaria (053)",533,472,42,12,7
"Secundaria (054)",192,163,8,8,13
"Superior no univ. incompleta (055)",38,30,6,1,1
"Superior no univ. completa (056)",73,62,7,3,1
"Superior univ. incompleta (057)",21,18,3,,
"Superior univ. completa (058)",90,74,8,6,2
,,,,,
