"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia BARRANCA",,,,,,,
"Viviendas particulares (001)",32690,4954,2957,1301,18460,3004,2014
"Ocupantes presentes (002)",132914,17976,11779,5615,78166,11563,7815
"Casa independiente",,,,,,,
"Viviendas particulares (004)",30373,3955,2658,1260,17783,2850,1867
"Ocupantes presentes (005)",124721,14747,10810,5444,75425,11040,7255
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",478,309,,6,132,14,17
"Ocupantes presentes (008)",1601,943,,24,538,43,53
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",643,357,,10,224,21,31
"Ocupantes presentes (011)",2422,1170,,50,969,88,145
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",529,255,,14,186,34,40
"Ocupantes presentes (014)",1970,878,,62,743,138,149
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",375,26,171,3,85,60,30
"Ocupantes presentes (017)",1306,81,575,11,326,209,104
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",217,20,128,8,35,6,20
"Ocupantes presentes (020)",719,83,394,24,128,16,74
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",53,22,,,15,8,8
"Ocupantes presentes (023)",140,51,,,37,18,34
"Otro tipo",,,,,,,
"Viviendas particulares (025)",22,10,,,,11,1
"Ocupantes presentes (026)",35,23,,,,11,1
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",27610,4700,1553,1246,17035,1576,1500
"Ocupantes presentes (029)",113295,17034,6170,5399,72514,6209,5969
"Casa independiente",,,,,,,
"Viviendas particulares (031)",25690,3732,1425,1208,16445,1495,1385
"Ocupantes presentes (032)",106452,13898,5776,5239,70107,5916,5516
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",478,309,,6,132,14,17
"Ocupantes presentes (035)",1601,943,,24,538,43,53
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",643,357,,10,224,21,31
"Ocupantes presentes (038)",2422,1170,,50,969,88,145
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",529,255,,14,186,34,40
"Ocupantes presentes (041)",1970,878,,62,743,138,149
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",217,20,128,8,35,6,20
"Ocupantes presentes (047)",719,83,394,24,128,16,74
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",45,20,,,13,5,7
"Ocupantes presentes (050)",115,47,,,29,7,32
"Otro tipo",,,,,,,
"Viviendas particulares (052)",8,7,,,,1,
"Ocupantes presentes (053)",16,15,,,,1,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",5080,254,1404,55,1425,1428,514
"Ocupantes presentes (056)",19619,942,5609,216,5652,5354,1846
"Casa independiente",,,,,,,
"Viviendas particulares (058)",4683,223,1233,52,1338,1355,482
"Ocupantes presentes (059)",18269,849,5034,205,5318,5124,1739
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",375,26,171,3,85,60,30
"Ocupantes presentes (071)",1306,81,575,11,326,209,104
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",8,2,,,2,3,1
"Ocupantes presentes (077)",25,4,,,8,11,2
"Otro tipo",,,,,,,
"Viviendas particulares (079)",14,3,,,,10,1
"Ocupantes presentes (080)",19,8,,,,10,1
