"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia EL COLLAO",,,,,,,,,
"Hogares (001)",26378,745,414,293,210,122,79,59,24456
"Ocupantes presentes (002)",78773,1724,1006,833,748,529,316,335,73282
"Casa independiente",,,,,,,,,
"Hogares (004)",25313,725,404,286,210,119,76,59,23434
"Ocupantes presentes (005)",75981,1671,976,811,748,517,312,335,70611
"Departamento en edificio",,,,,,,,,
"Hogares (007)",16,,,,,1,1,,14
"Ocupantes presentes (008)",50,,,,,5,2,,43
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",29,5,,1,,,,,23
"Ocupantes presentes (011)",111,17,,3,,,,,91
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",38,2,1,2,,1,,,32
"Ocupantes presentes (014)",119,6,1,5,,5,,,102
"Choza o cabaña",,,,,,,,,
"Hogares (016)",956,12,7,3,,1,2,,931
"Ocupantes presentes (017)",2437,21,20,11,,2,2,,2381
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",5,1,,1,,,,,3
"Ocupantes presentes (020)",24,9,,3,,,,,12
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",17,,2,,,,,,15
"Ocupantes presentes (023)",42,,9,,,,,,33
"Otro tipo",,,,,,,,,
"Hogares (025)",4,,,,,,,,4
"Ocupantes presentes (026)",9,,,,,,,,9
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",7373,367,206,179,132,72,46,42,6329
"Ocupantes presentes (029)",23266,897,527,498,472,310,169,241,20152
"Casa independiente",,,,,,,,,
"Hogares (031)",7275,359,203,175,132,70,45,42,6249
"Ocupantes presentes (032)",22929,865,517,487,472,300,167,241,19880
"Departamento en edificio",,,,,,,,,
"Hogares (034)",16,,,,,1,1,,14
"Ocupantes presentes (035)",50,,,,,5,2,,43
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",29,5,,1,,,,,23
"Ocupantes presentes (038)",111,17,,3,,,,,91
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",38,2,1,2,,1,,,32
"Ocupantes presentes (041)",119,6,1,5,,5,,,102
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",5,1,,1,,,,,3
"Ocupantes presentes (047)",24,9,,3,,,,,12
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",9,,2,,,,,,7
"Ocupantes presentes (050)",32,,9,,,,,,23
"Otro tipo",,,,,,,,,
"Hogares (052)",1,,,,,,,,1
"Ocupantes presentes (053)",1,,,,,,,,1
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",19005,378,208,114,78,50,33,17,18127
"Ocupantes presentes (056)",55507,827,479,335,276,219,147,94,53130
"Casa independiente",,,,,,,,,
"Hogares (058)",18038,366,201,111,78,49,31,17,17185
"Ocupantes presentes (059)",53052,806,459,324,276,217,145,94,50731
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",956,12,7,3,,1,2,,931
"Ocupantes presentes (071)",2437,21,20,11,,2,2,,2381
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",8,,,,,,,,8
"Ocupantes presentes (077)",10,,,,,,,,10
"Otro tipo",,,,,,,,,
"Hogares (079)",3,,,,,,,,3
"Ocupantes presentes (080)",8,,,,,,,,8
