"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AMBO (000)",15878,14119,859,289,611
"Agric., ganadería, caza y silvicultura (001)",11289,10691,516,72,10
"Pesca (002)",2,2,,,
"Explotación de minas y canteras (003)",125,57,20,12,36
"Industrias manufactureras (004)",342,289,31,18,4
"Suministro de electricidad, gas y agua (005)",2,1,,1,
"Construcción (006)",465,382,44,29,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1233,1161,61,6,5
"Venta, mant.y rep. veh.autom y motoc. (008)",98,78,14,2,4
"Comercio al por mayor (009)",61,53,7,,1
"Comercio al por menor (010)",1074,1030,40,4,
"Hoteles y restaurantes (011)",331,305,23,2,1
"Trans., almac. y comunicaciones (012)",599,514,43,26,16
"Intermediación financiera (013)",9,4,,2,3
"Activid.inmobil., empres. y alquileres (014)",77,50,7,11,9
"Admin.pub. y defensa; p. segur soc.afil (015)",193,,,,193
"Enseñanza (016)",435,89,59,84,203
"Servicios sociales y de salud (017)",140,30,2,4,104
"Otras activ. serv.comun.soc y personales (018)",142,100,28,9,5
"Hogares privados con servicio doméstico (019)",183,183,,,
"Actividad economica no especificada (021)",311,261,25,13,12
"Hombres (022)",12941,11607,698,240,396
"Agric., ganadería, caza y silvicultura (023)",10119,9595,449,66,9
"Pesca (024)",2,2,,,
"Explotación de minas y canteras (025)",125,57,20,12,36
"Industrias manufactureras (026)",269,222,26,17,4
"Suministro de electricidad, gas y agua (027)",2,1,,1,
"Construcción (028)",460,378,44,28,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",610,561,38,6,5
"Venta, mant.y rep. veh.autom y motoc. (030)",90,70,14,2,4
"Comercio al por mayor (031)",35,28,6,,1
"Comercio al por menor (032)",485,463,18,4,
"Hoteles y restaurantes (033)",67,56,9,1,1
"Trans., almac. y comunicaciones (034)",586,504,42,26,14
"Intermediación financiera (035)",7,3,,2,2
"Activid.inmobil., empres. y alquileres (036)",57,39,4,10,4
"Admin.pub. y defensa; p. segur soc.afil (037)",139,,,,139
"Enseñanza (038)",252,44,34,53,121
"Servicios sociales y de salud (039)",48,10,,2,36
"Otras activ. serv.comun.soc y personales (040)",76,42,22,7,5
"Hogares privados con servicio doméstico (041)",24,24,,,
"Actividad economica no especificada (043)",98,69,10,9,10
