"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia EL COLLAO (000)",26107,14780,11327
"Red pública dentro de la vivienda (001)",4281,3549,732
"Red pública fuera de la vivienda (002)",676,496,180
"Pilón de uso público (003)",441,224,217
"Camión - cisterna u otro similar (004)",26,13,13
"Pozo (005)",15935,9087,6848
"Río, acequia, manatial o similar (006)",2921,497,2424
"Vecino (007)",1452,763,689
"Otro (008)",375,151,224
,,,
"URBANA (010)",7139,5180,1959
"Red pública dentro de la vivienda (011)",4116,3463,653
"Red pública fuera de la vivienda (012)",573,487,86
"Pilón de uso público (013)",133,102,31
"Camión - cisterna u otro similar (014)",9,3,6
"Pozo (015)",1711,917,794
"Río, acequia, manatial o similar (016)",64,20,44
"Vecino (017)",369,130,239
"Otro (018)",164,58,106
,,,
"RURAL (020)",18968,9600,9368
"Red pública dentro de la vivienda (021)",165,86,79
"Red pública fuera de la vivienda (022)",103,9,94
"Pilón de uso público (023)",308,122,186
"Camión - cisterna u otro similar (024)",17,10,7
"Pozo (025)",14224,8170,6054
"Río, acequia, manatial o similar (026)",2857,477,2380
"Vecino (027)",1083,633,450
"Otro (028)",211,93,118
