"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SATIPO (000)",190821,4366,71925,56026,34126,19466,4912
"Jefe o Jefa (001)",42437,,99,11140,16893,11546,2759
"Esposa(o) / compañera(o) (002)",28746,,85,10944,11503,5475,739
"Hijo(a) / hijastro(a) (003)",86765,3460,59512,21799,1807,183,4
"Yerno / nuera (004)",1974,,29,1465,437,42,1
"Nieto(a) (005)",6817,560,5463,771,22,1,
"Padres / suegros (006)",1859,,,1,72,787,999
"Otro(a) pariente (007)",15903,301,6019,6341,2022,932,288
"Trabajador(a) del hogar (008)",334,,27,236,39,23,9
"Pensionistas (009)",143,,3,72,44,18,6
"Otro(a) no pariente (010)",5843,45,688,3257,1287,459,107
"Hombres (011)",101496,2224,37083,29944,18317,10995,2933
"Jefe o Jefa (012)",35006,,52,9255,14185,9363,2151
"Esposa(o) / compañera(o) (013)",1082,,23,416,370,222,51
"Hijo(a) / hijastro(a) (014)",46367,1733,30640,12781,1103,108,2
"Yerno / nuera (015)",873,,13,585,244,30,1
"Nieto(a) (016)",3573,305,2796,460,12,,
"Padres / suegros (017)",800,,,1,23,307,469
"Otro(a) pariente (018)",9185,162,3179,3837,1262,567,178
"Trabajador(a) del hogar (019)",56,,6,36,7,4,3
"Pensionistas (020)",107,,2,53,36,13,3
"Otro(a) no pariente (021)",4447,24,372,2520,1075,381,75
"Mujeres (022)",89325,2142,34842,26082,15809,8471,1979
"Jefe o Jefa (023)",7431,,47,1885,2708,2183,608
"Esposa(o) / compañera(o) (024)",27664,,62,10528,11133,5253,688
"Hijo(a) / hijastro(a) (025)",40398,1727,28872,9018,704,75,2
"Yerno / nuera (026)",1101,,16,880,193,12,
"Nieto(a) (027)",3244,255,2667,311,10,1,
"Padres / suegros (028)",1059,,,,49,480,530
"Otro(a) pariente (029)",6718,139,2840,2504,760,365,110
"Trabajador(a) del hogar (030)",278,,21,200,32,19,6
"Pensionistas (031)",36,,1,19,8,5,3
"Otro(a) no pariente (032)",1396,21,316,737,212,78,32
,,,,,,,
"URBANA (033)",51152,968,17115,15106,10216,6237,1510
"Jefe o Jefa (034)",12457,,53,2630,5174,3761,839
"Esposa(o) / compañera(o) (035)",7602,,20,2266,3418,1698,200
"Hijo(a) / hijastro(a) (036)",21853,676,13807,6625,663,79,3
"Yerno / nuera (037)",600,,11,433,131,24,1
"Nieto(a) (038)",2017,191,1567,255,4,,
"Padres / suegros (039)",615,,,,27,239,349
"Otro(a) pariente (040)",4170,81,1422,1869,451,270,77
"Trabajador(a) del hogar (041)",166,,15,128,16,6,1
"Pensionistas (042)",61,,1,33,16,6,5
"Otro(a) no pariente (043)",1611,20,219,867,316,154,35
"Hombres (044)",25768,508,8723,7464,4938,3319,816
"Jefe o Jefa (045)",8969,,23,1754,3822,2782,588
"Esposa(o) / compañera(o) (046)",542,,10,208,185,119,20
"Hijo(a) / hijastro(a) (047)",11408,347,7057,3604,356,43,1
"Yerno / nuera (048)",273,,6,165,85,16,1
"Nieto(a) (049)",1040,110,786,144,,,
"Padres / suegros (050)",243,,,,10,97,136
"Otro(a) pariente (051)",2283,40,733,1055,264,146,45
"Trabajador(a) del hogar (052)",24,,4,14,4,1,1
"Pensionistas (053)",42,,1,23,12,3,3
"Otro(a) no pariente (054)",944,11,103,497,200,112,21
"Mujeres (055)",25384,460,8392,7642,5278,2918,694
"Jefe o Jefa (056)",3488,,30,876,1352,979,251
"Esposa(o) / compañera(o) (057)",7060,,10,2058,3233,1579,180
"Hijo(a) / hijastro(a) (058)",10445,329,6750,3021,307,36,2
"Yerno / nuera (059)",327,,5,268,46,8,
"Nieto(a) (060)",977,81,781,111,4,,
"Padres / suegros (061)",372,,,,17,142,213
"Otro(a) pariente (062)",1887,41,689,814,187,124,32
"Trabajador(a) del hogar (063)",142,,11,114,12,5,
"Pensionistas (064)",19,,,10,4,3,2
"Otro(a) no pariente (065)",667,9,116,370,116,42,14
,,,,,,,
"RURAL (066)",139669,3398,54810,40920,23910,13229,3402
"Jefe o Jefa (067)",29980,,46,8510,11719,7785,1920
"Esposa(o) / compañera(o) (068)",21144,,65,8678,8085,3777,539
"Hijo(a) / hijastro(a) (069)",64912,2784,45705,15174,1144,104,1
"Yerno / nuera (070)",1374,,18,1032,306,18,
"Nieto(a) (071)",4800,369,3896,516,18,1,
"Padres / suegros (072)",1244,,,1,45,548,650
"Otro(a) pariente (073)",11733,220,4597,4472,1571,662,211
"Trabajador(a) del hogar (074)",168,,12,108,23,17,8
"Pensionistas (075)",82,,2,39,28,12,1
"Otro(a) no pariente (076)",4232,25,469,2390,971,305,72
"Hombres (077)",75728,1716,28360,22480,13379,7676,2117
"Jefe o Jefa (078)",26037,,29,7501,10363,6581,1563
"Esposa(o) / compañera(o) (079)",540,,13,208,185,103,31
"Hijo(a) / hijastro(a) (080)",34959,1386,23583,9177,747,65,1
"Yerno / nuera (081)",600,,7,420,159,14,
"Nieto(a) (082)",2533,195,2010,316,12,,
"Padres / suegros (083)",557,,,1,13,210,333
"Otro(a) pariente (084)",6902,122,2446,2782,998,421,133
"Trabajador(a) del hogar (085)",32,,2,22,3,3,2
"Pensionistas (086)",65,,1,30,24,10,
"Otro(a) no pariente (087)",3503,13,269,2023,875,269,54
"Mujeres (088)",63941,1682,26450,18440,10531,5553,1285
"Jefe o Jefa (089)",3943,,17,1009,1356,1204,357
"Esposa(o) / compañera(o) (090)",20604,,52,8470,7900,3674,508
"Hijo(a) / hijastro(a) (091)",29953,1398,22122,5997,397,39,
"Yerno / nuera (092)",774,,11,612,147,4,
"Nieto(a) (093)",2267,174,1886,200,6,1,
"Padres / suegros (094)",687,,,,32,338,317
