"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHICLAYO (000)",271456,8378,271,51809,105729,17767,33023,15043,39436
"Empleado (001)",88659,685,46,5242,22954,7223,17649,7726,27134
"Obrero (002)",51442,2189,74,14271,25952,2569,3415,1362,1610
"Trabajador independiente (003)",107824,4368,89,25230,47230,6666,10207,4943,9091
"Empleador o patrono (004)",5382,121,3,903,1918,328,709,379,1021
"Trabajador familiar no remunerado (005)",8099,401,38,2470,3347,447,584,426,386
"Trabajador del hogar (006)",10050,614,21,3693,4328,534,459,207,194
"Hombres (008)",175434,3866,167,33931,75934,11201,18074,9838,22423
"Empleado (009)",48618,274,30,3182,14617,3983,8245,4469,13818
"Obrero (010)",45894,1725,60,12677,23560,2266,2969,1220,1417
"Trabajador independiente (011)",73242,1663,55,16160,34628,4546,6253,3626,6311
"Empleador o patrono (012)",3942,68,2,687,1466,228,459,290,742
"Trabajador familiar no remunerado (013)",3422,121,19,1125,1525,160,129,216,127
"Trabajador del hogar (014)",316,15,1,100,138,18,19,17,8
"Mujeres (016)",96022,4512,104,17878,29795,6566,14949,5205,17013
"Empleado (017)",40041,411,16,2060,8337,3240,9404,3257,13316
"Obrero (018)",5548,464,14,1594,2392,303,446,142,193
"Trabajador independiente (019)",34582,2705,34,9070,12602,2120,3954,1317,2780
"Empleador o patrono (020)",1440,53,1,216,452,100,250,89,279
"Trabajador familiar no remunerado (021)",4677,280,19,1345,1822,287,455,210,259
"Trabajador del hogar (022)",9734,599,20,3593,4190,516,440,190,186
,,,,,,,,,
"URBANA (024)",255583,7272,252,45315,98919,17428,32431,14897,39069
"Empleado (025)",87527,671,45,5086,22545,7152,17439,7690,26899
"Obrero (026)",43008,1649,65,10892,21896,2424,3216,1302,1564
"Trabajador independiente (027)",102928,3906,86,22957,45429,6569,10056,4908,9017
"Empleador o patrono (028)",5129,110,3,779,1823,324,700,376,1014
"Trabajador familiar no remunerado (029)",7283,337,32,2065,3045,438,569,416,381
"Trabajador del hogar (030)",9708,599,21,3536,4181,521,451,205,194
"Hombres (032)",162748,3151,153,28782,70117,10952,17674,9730,22189
"Empleado (033)",47905,265,30,3070,14312,3946,8144,4453,13685
"Obrero (034)",38296,1309,53,9649,19805,2138,2800,1165,1377
"Trabajador independiente (035)",69667,1422,53,14527,33198,4471,6139,3600,6257
"Empleador o patrono (036)",3713,58,2,569,1383,224,451,289,737
"Trabajador familiar no remunerado (037)",2862,82,14,872,1286,155,121,207,125
"Trabajador del hogar (038)",305,15,1,95,133,18,19,16,8
"Mujeres (040)",92835,4121,99,16533,28802,6476,14757,5167,16880
"Empleado (041)",39622,406,15,2016,8233,3206,9295,3237,13214
"Obrero (042)",4712,340,12,1243,2091,286,416,137,187
"Trabajador independiente (043)",33261,2484,33,8430,12231,2098,3917,1308,2760
"Empleador o patrono (044)",1416,52,1,210,440,100,249,87,277
"Trabajador familiar no remunerado (045)",4421,255,18,1193,1759,283,448,209,256
"Trabajador del hogar (046)",9403,584,20,3441,4048,503,432,189,186
,,,,,,,,,
"RURAL (048)",15873,1106,19,6494,6810,339,592,146,367
"Empleado (049)",1132,14,1,156,409,71,210,36,235
"Obrero (050)",8434,540,9,3379,4056,145,199,60,46
"Trabajador independiente (051)",4896,462,3,2273,1801,97,151,35,74
"Empleador o patrono (052)",253,11,,124,95,4,9,3,7
"Trabajador familiar no remunerado (053)",816,64,6,405,302,9,15,10,5
"Trabajador del hogar (054)",342,15,,157,147,13,8,2,
"Hombres (056)",12686,715,14,5149,5817,249,400,108,234
"Empleado (057)",713,9,,112,305,37,101,16,133
"Obrero (058)",7598,416,7,3028,3755,128,169,55,40
"Trabajador independiente (059)",3575,241,2,1633,1430,75,114,26,54
"Empleador o patrono (060)",229,10,,118,83,4,8,1,5
"Trabajador familiar no remunerado (061)",560,39,5,253,239,5,8,9,2
"Trabajador del hogar (062)",11,,,5,5,,,1,
"Mujeres (064)",3187,391,5,1345,993,90,192,38,133
"Empleado (065)",419,5,1,44,104,34,109,20,102
"Obrero (066)",836,124,2,351,301,17,30,5,6
"Trabajador independiente (067)",1321,221,1,640,371,22,37,9,20
"Empleador o patrono (068)",24,1,,6,12,,1,2,2
"Trabajador familiar no remunerado (069)",256,25,1,152,63,4,7,1,3
"Trabajador del hogar (070)",331,15,,152,142,13,8,1,
