"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia HUANCANE",,,,,,,,,
"Hogares (001)",22567,736,306,181,126,62,39,61,21056
"Ocupantes presentes (002)",68806,1919,832,538,413,250,159,237,64458
"Casa independiente",,,,,,,,,
"Hogares (004)",17558,469,208,120,90,50,25,49,16547
"Ocupantes presentes (005)",53697,1087,555,351,282,209,108,197,50908
"Departamento en edificio",,,,,,,,,
"Hogares (007)",2,,,,,,,,2
"Ocupantes presentes (008)",5,,,,,,,,5
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",9,,1,,,,,,8
"Ocupantes presentes (011)",26,,2,,,,,,24
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",18,1,,,,,,,17
"Ocupantes presentes (014)",49,3,,,,,,,46
"Choza o cabaña",,,,,,,,,
"Hogares (016)",4959,266,97,61,36,12,14,12,4461
"Ocupantes presentes (017)",14979,829,275,187,131,41,51,40,13425
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",1,,,,,,,,1
"Ocupantes presentes (020)",1,,,,,,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",9,,,,,,,,9
"Ocupantes presentes (023)",27,,,,,,,,27
"Otro tipo",,,,,,,,,
"Hogares (025)",11,,,,,,,,11
"Ocupantes presentes (026)",22,,,,,,,,22
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",4205,215,110,59,54,31,10,27,3699
"Ocupantes presentes (029)",13146,472,310,176,181,138,37,116,11716
"Casa independiente",,,,,,,,,
"Hogares (031)",4167,214,109,59,54,31,10,27,3663
"Ocupantes presentes (032)",13043,469,308,176,181,138,37,116,11618
"Departamento en edificio",,,,,,,,,
"Hogares (034)",2,,,,,,,,2
"Ocupantes presentes (035)",5,,,,,,,,5
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",9,,1,,,,,,8
"Ocupantes presentes (038)",26,,2,,,,,,24
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",18,1,,,,,,,17
"Ocupantes presentes (041)",49,3,,,,,,,46
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",1,,,,,,,,1
"Ocupantes presentes (047)",1,,,,,,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",7,,,,,,,,7
"Ocupantes presentes (050)",19,,,,,,,,19
"Otro tipo",,,,,,,,,
"Hogares (052)",1,,,,,,,,1
"Ocupantes presentes (053)",3,,,,,,,,3
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",18362,521,196,122,72,31,29,34,17357
"Ocupantes presentes (056)",55660,1447,522,362,232,112,122,121,52742
"Casa independiente",,,,,,,,,
"Hogares (058)",13391,255,99,61,36,19,15,22,12884
"Ocupantes presentes (059)",40654,618,247,175,101,71,71,81,39290
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",4959,266,97,61,36,12,14,12,4461
"Ocupantes presentes (071)",14979,829,275,187,131,41,51,40,13425
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",2,,,,,,,,2
"Ocupantes presentes (077)",8,,,,,,,,8
"Otro tipo",,,,,,,,,
"Hogares (079)",10,,,,,,,,10
"Ocupantes presentes (080)",19,,,,,,,,19
