"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia YAUYOS (000)",27501,6417,3943,599,16570
"Menos de 1 año (001)",423,217,20,5,181
"De 1 a 14 años (002)",7564,3999,490,86,2996
"De 15 a 29 años (003)",5752,999,966,118,3674
"De 30 a 44 años (004)",5712,595,1475,164,3486
"De 45 a 64 años (005)",4599,321,756,138,3390
"De 65 y mas años (006)",3451,286,236,88,2843
"Hombres (008)",14983,3147,2941,413,8506
"Menos de 1 año (009)",218,110,11,2,95
"De 1 a 14 años (010)",3892,2083,258,46,1511
"De 15 a 29 años (011)",3318,443,804,93,1983
"De 30 a 44 años (012)",3383,233,1167,121,1869
"De 45 a 64 años (013)",2516,143,570,94,1713
"De 65 y mas años (014)",1656,135,131,57,1335
"Mujeres (016)",12518,3270,1002,186,8064
"Menos de 1 año (017)",205,107,9,3,86
"De 1 a 14 años (018)",3672,1916,232,40,1485
"De 15 a 29 años (019)",2434,556,162,25,1691
"De 30 a 44 años (020)",2329,362,308,43,1617
"De 45 a 64 años (021)",2083,178,186,44,1677
"De 65 y mas años (022)",1795,151,105,31,1508
,,,,,
"URBANA (024)",15727,4310,1716,452,9267
"Menos de 1 año (025)",217,119,10,4,84
"De 1 a 14 años (026)",4538,2614,399,65,1465
"De 15 a 29 años (027)",3124,701,252,88,2086
"De 30 a 44 años (028)",3079,405,502,113,2062
"De 45 a 64 años (029)",2606,240,371,105,1895
"De 65 y mas años (030)",2163,231,182,77,1675
"Hombres (032)",7982,2099,916,297,4685
"Menos de 1 año (033)",109,61,5,1,42
"De 1 a 14 años (034)",2343,1347,211,35,755
"De 15 a 29 años (035)",1630,324,127,70,1112
"De 30 a 44 años (036)",1550,156,250,77,1069
"De 45 a 64 años (037)",1339,104,223,65,950
"De 65 y mas años (038)",1011,107,100,49,757
"Mujeres (040)",7745,2211,800,155,4582
"Menos de 1 año (041)",108,58,5,3,42
"De 1 a 14 años (042)",2195,1267,188,30,710
"De 15 a 29 años (043)",1494,377,125,18,974
"De 30 a 44 años (044)",1529,249,252,36,993
"De 45 a 64 años (045)",1267,136,148,40,945
"De 65 y mas años (046)",1152,124,82,28,918
,,,,,
"RURAL (048)",11774,2107,2227,147,7303
"Menos de 1 año (049)",206,98,10,1,97
"De 1 a 14 años (050)",3026,1385,91,21,1531
"De 15 a 29 años (051)",2628,298,714,30,1588
"De 30 a 44 años (052)",2633,190,973,51,1424
"De 45 a 64 años (053)",1993,81,385,33,1495
"De 65 y mas años (054)",1288,55,54,11,1168
"Hombres (056)",7001,1048,2025,116,3821
"Menos de 1 año (057)",109,49,6,1,53
"De 1 a 14 años (058)",1549,736,47,11,756
"De 15 a 29 años (059)",1688,119,677,23,871
"De 30 a 44 años (060)",1833,77,917,44,800
"De 45 a 64 años (061)",1177,39,347,29,763
"De 65 y mas años (062)",645,28,31,8,578
"Mujeres (064)",4773,1059,202,31,3482
"Menos de 1 año (065)",97,49,4,,44
"De 1 a 14 años (066)",1477,649,44,10,775
"De 15 a 29 años (067)",940,179,37,7,717
"De 30 a 44 años (068)",800,113,56,7,624
"De 45 a 64 años (069)",816,42,38,4,732
"De 65 y mas años (070)",643,27,23,3,590
