"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CAMANA (000)",50221,2045,10025,9915,8654,7621,5656,3073,3232
"Quechua (001)",6677,21,246,1258,1541,1384,1066,632,529
"Aymara (002)",1292,6,60,199,287,313,241,116,70
"Ashaninca (003)",8,,1,2,1,3,,1,
"Otra lengua nativa (004)",10,,1,1,1,1,4,1,1
"Castellano (005)",42197,2017,9709,8447,6818,5917,4340,2321,2628
"Idioma extranjero (006)",5,,,,1,1,1,,2
"Es sordomudo/a (007)",32,1,8,8,5,2,4,2,2
"Hombres (009)",26301,1072,5148,5069,4516,4013,3034,1731,1718
"Quechua (010)",3610,11,134,696,839,723,583,358,266
"Aymara (011)",755,5,37,108,166,182,146,74,37
"Ashaninca (012)",3,,1,1,,1,,,
"Otra lengua nativa (013)",9,,1,1,1,1,3,1,1
"Castellano (014)",21899,1055,4972,4256,3506,3105,2298,1297,1410
"Idioma extranjero (015)",5,,,,1,1,1,,2
"Es sordomudo/a (016)",20,1,3,7,3,,3,1,2
"Mujeres (018)",23920,973,4877,4846,4138,3608,2622,1342,1514
"Quechua (019)",3067,10,112,562,702,661,483,274,263
"Aymara (020)",537,1,23,91,121,131,95,42,33
"Ashaninca (021)",5,,,1,1,2,,1,
"Otra lengua nativa (022)",1,,,,,,1,,
"Castellano (023)",20298,962,4737,4191,3312,2812,2042,1024,1218
"Es sordomudo/a (025)",12,,5,1,2,2,1,1,
,,,,,,,,,
"URBANA (027)",42437,1692,8816,7981,6979,6527,4950,2652,2840
"Quechua (028)",4782,12,179,704,1040,1070,857,497,423
"Aymara (029)",1121,6,56,161,238,272,218,103,67
"Ashaninca (030)",7,,1,1,1,3,,1,
"Otra lengua nativa (031)",9,,1,,1,1,4,1,1
"Castellano (032)",36486,1673,8572,7108,5696,5178,3866,2048,2345
"Idioma extranjero (033)",5,,,,1,1,1,,2
"Es sordomudo/a (034)",27,1,7,7,2,2,4,2,2
"Hombres (036)",21546,904,4505,3907,3418,3307,2583,1451,1471
"Quechua (037)",2360,7,94,327,487,521,446,274,204
"Aymara (038)",646,5,34,88,137,154,132,62,34
"Ashaninca (039)",3,,1,1,,1,,,
"Otra lengua nativa (040)",8,,1,,1,1,3,1,1
"Castellano (041)",18507,891,4372,3485,2791,2629,1998,1113,1228
"Idioma extranjero (042)",5,,,,1,1,1,,2
"Es sordomudo/a (043)",17,1,3,6,1,,3,1,2
"Mujeres (045)",20891,788,4311,4074,3561,3220,2367,1201,1369
"Quechua (046)",2422,5,85,377,553,549,411,223,219
"Aymara (047)",475,1,22,73,101,118,86,41,33
"Ashaninca (048)",4,,,,1,2,,1,
"Otra lengua nativa (049)",1,,,,,,1,,
"Castellano (050)",17979,782,4200,3623,2905,2549,1868,935,1117
"Es sordomudo/a (052)",10,,4,1,1,2,1,1,
,,,,,,,,,
"RURAL (054)",7784,353,1209,1934,1675,1094,706,421,392
"Quechua (055)",1895,9,67,554,501,314,209,135,106
"Aymara (056)",171,,4,38,49,41,23,13,3
"Ashaninca (057)",1,,,1,,,,,
"Otra lengua nativa (058)",1,,,1,,,,,
"Castellano (059)",5711,344,1137,1339,1122,739,474,273,283
"Es sordomudo/a (061)",5,,1,1,3,,,,
"Hombres (063)",4755,168,643,1162,1098,706,451,280,247
"Quechua (064)",1250,4,40,369,352,202,137,84,62
"Aymara (065)",109,,3,20,29,28,14,12,3
"Otra lengua nativa (067)",1,,,1,,,,,
"Castellano (068)",3392,164,600,771,715,476,300,184,182
"Es sordomudo/a (070)",3,,,1,2,,,,
"Mujeres (072)",3029,185,566,772,577,388,255,141,145
"Quechua (073)",645,5,27,185,149,112,72,51,44
"Aymara (074)",62,,1,18,20,13,9,1,
"Ashaninca (075)",1,,,1,,,,,
"Castellano (077)",2319,180,537,568,407,263,174,89,101
"Es sordomudo/a (079)",2,,1,,1,,,,
