"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia JULCAN",,,,,,,,
"Hogares (001)",8285,6186,429,109,3,16,34,2019
"Ocupantes presentes (002)",32928,25679,1583,395,13,68,129,6963
"Casa independiente",,,,,,,,
"Hogares (004)",8182,6116,429,109,3,16,34,1986
"Ocupantes presentes (005)",32552,25395,1583,395,13,68,129,6871
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",7,6,,,,,,1
"Ocupantes presentes (014)",20,18,,,,,,2
"Choza o cabaña",,,,,,,,
"Hogares (016)",96,64,,,,,,32
"Ocupantes presentes (017)",356,266,,,,,,90
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",1404,987,307,90,1,15,34,362
"Ocupantes presentes (029)",4829,3535,1071,322,3,62,129,1114
"Casa independiente",,,,,,,,
"Hogares (031)",1397,981,307,90,1,15,34,361
"Ocupantes presentes (032)",4809,3517,1071,322,3,62,129,1112
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",7,6,,,,,,1
"Ocupantes presentes (041)",20,18,,,,,,2
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",6881,5199,122,19,2,1,,1657
"Ocupantes presentes (056)",28099,22144,512,73,10,6,,5849
"Casa independiente",,,,,,,,
"Hogares (058)",6785,5135,122,19,2,1,,1625
"Ocupantes presentes (059)",27743,21878,512,73,10,6,,5759
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",96,64,,,,,,32
"Ocupantes presentes (071)",356,266,,,,,,90
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
