"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PAUCARTAMBO (000)",37985,11849,10415,8118,5451,2152
"Hombres (001)",19101,5982,5281,4110,2719,1009
"Mujeres (002)",18884,5867,5134,4008,2732,1143
"PEA (003)",15986,468,5500,5484,3573,961
"Hombres (004)",10820,264,3653,3798,2449,656
"Mujeres (005)",5166,204,1847,1686,1124,305
"Ocupada (006)",15491,455,5248,5320,3517,951
"Hombres (007)",10432,257,3473,3656,2397,649
"Mujeres (008)",5059,198,1775,1664,1120,302
"Desocupada (009)",495,13,252,164,56,10
"Hombres (010)",388,7,180,142,52,7
"Mujeres (011)",107,6,72,22,4,3
"No PEA (012)",21999,11381,4915,2634,1878,1191
"Hombres (013)",8281,5718,1628,312,270,353
"Mujeres (014)",13718,5663,3287,2322,1608,838
,,,,,,
"URBANA (018)",7271,2012,2083,1735,1042,399
"Hombres (019)",3603,984,1008,889,531,191
"Mujeres (020)",3668,1028,1075,846,511,208
"PEA (021)",3144,86,1006,1208,680,164
"Hombres (022)",2010,49,610,794,449,108
"Mujeres (023)",1134,37,396,414,231,56
"Ocupada (024)",2938,82,913,1128,656,159
"Hombres (025)",1847,45,543,728,427,104
"Mujeres (026)",1091,37,370,400,229,55
"Desocupada (027)",206,4,93,80,24,5
"Hombres (028)",163,4,67,66,22,4
"Mujeres (029)",43,,26,14,2,1
"No PEA (030)",4127,1926,1077,527,362,235
"Hombres (031)",1593,935,398,95,82,83
"Mujeres (032)",2534,991,679,432,280,152
,,,,,,
"RURAL (036)",30714,9837,8332,6383,4409,1753
"Hombres (037)",15498,4998,4273,3221,2188,818
"Mujeres (038)",15216,4839,4059,3162,2221,935
"PEA (039)",12842,382,4494,4276,2893,797
"Hombres (040)",8810,215,3043,3004,2000,548
"Mujeres (041)",4032,167,1451,1272,893,249
"Ocupada (042)",12553,373,4335,4192,2861,792
"Hombres (043)",8585,212,2930,2928,1970,545
"Mujeres (044)",3968,161,1405,1264,891,247
"Desocupada (045)",289,9,159,84,32,5
"Hombres (046)",225,3,113,76,30,3
"Mujeres (047)",64,6,46,8,2,2
"No PEA (048)",17872,9455,3838,2107,1516,956
"Hombres (049)",6688,4783,1230,217,188,270
"Mujeres (050)",11184,4672,2608,1890,1328,686
