"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PICOTA (000)",35061,3961,895,18287,9842,597,870,236,373
"Quechua (001)",75,21,,39,9,4,1,,1
"Aymara (002)",4,1,,1,1,1,,,
"Ashaninca (003)",7,,1,4,2,,,,
"Otra lengua nativa (004)",20,2,,10,7,,,1,
"Castellano (005)",34902,3905,891,18221,9818,592,869,235,371
"Idioma extranjero (006)",2,,,,1,,,,1
"Es sordomudo/a (007)",51,32,3,12,4,,,,
"Hombres (009)",18658,1797,453,9502,5668,333,514,153,238
"Quechua (010)",42,3,,27,9,2,,,1
"Aymara (011)",2,1,,,,1,,,
"Ashaninca (012)",3,,1,1,1,,,,
"Otra lengua nativa (013)",9,1,,4,3,,,1,
"Castellano (014)",18576,1777,450,9462,5654,330,514,152,237
"Es sordomudo/a (016)",26,15,2,8,1,,,,
"Mujeres (018)",16403,2164,442,8785,4174,264,356,83,135
"Quechua (019)",33,18,,12,,2,1,,
"Aymara (020)",2,,,1,1,,,,
"Ashaninca (021)",4,,,3,1,,,,
"Otra lengua nativa (022)",11,1,,6,4,,,,
"Castellano (023)",16326,2128,441,8759,4164,262,355,83,134
"Idioma extranjero (024)",2,,,,1,,,,1
"Es sordomudo/a (025)",25,17,1,4,3,,,,
,,,,,,,,,
"URBANA (027)",22032,1890,635,10212,7429,526,790,209,341
"Quechua (028)",43,11,,21,6,3,1,,1
"Aymara (029)",3,1,,1,1,,,,
"Ashaninca (030)",4,,,3,1,,,,
"Otra lengua nativa (031)",14,2,,7,5,,,,
"Castellano (032)",21943,1861,634,10174,7414,523,789,209,339
"Idioma extranjero (033)",2,,,,1,,,,1
"Es sordomudo/a (034)",23,15,1,6,1,,,,
"Hombres (036)",11515,870,323,5090,4123,289,465,134,221
"Quechua (037)",23,,,14,6,2,,,1
"Aymara (038)",1,1,,,,,,,
"Ashaninca (039)",1,,,,1,,,,
"Otra lengua nativa (040)",6,1,,3,2,,,,
"Castellano (041)",11471,860,322,5070,4113,287,465,134,220
"Es sordomudo/a (043)",13,8,1,3,1,,,,
"Mujeres (045)",10517,1020,312,5122,3306,237,325,75,120
"Quechua (046)",20,11,,7,,1,1,,
"Aymara (047)",2,,,1,1,,,,
"Ashaninca (048)",3,,,3,,,,,
"Otra lengua nativa (049)",8,1,,4,3,,,,
"Castellano (050)",10472,1001,312,5104,3301,236,324,75,119
"Idioma extranjero (051)",2,,,,1,,,,1
"Es sordomudo/a (052)",10,7,,3,,,,,
,,,,,,,,,
"RURAL (054)",13029,2071,260,8075,2413,71,80,27,32
"Quechua (055)",32,10,,18,3,1,,,
"Aymara (056)",1,,,,,1,,,
"Ashaninca (057)",3,,1,1,1,,,,
"Otra lengua nativa (058)",6,,,3,2,,,1,
"Castellano (059)",12959,2044,257,8047,2404,69,80,26,32
"Es sordomudo/a (061)",28,17,2,6,3,,,,
"Hombres (063)",7143,927,130,4412,1545,44,49,19,17
"Quechua (064)",19,3,,13,3,,,,
"Aymara (065)",1,,,,,1,,,
"Ashaninca (066)",2,,1,1,,,,,
"Otra lengua nativa (067)",3,,,1,1,,,1,
"Castellano (068)",7105,917,128,4392,1541,43,49,18,17
"Es sordomudo/a (070)",13,7,1,5,,,,,
"Mujeres (072)",5886,1144,130,3663,868,27,31,8,15
"Quechua (073)",13,7,,5,,1,,,
"Ashaninca (075)",1,,,,1,,,,
"Otra lengua nativa (076)",3,,,2,1,,,,
"Castellano (077)",5854,1127,129,3655,863,26,31,8,15
"Es sordomudo/a (079)",15,10,1,1,3,,,,
