"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LAURICOCHA (000)",9831,250,2988,3464,2385,744
"Agric., ganadería, caza y silvicultura (001)",5860,208,1603,1868,1558,623
"Pesca (002)",5,1,3,,1,
"Explotación de minas y canteras (003)",1272,,497,581,190,4
"Industrias manufactureras (004)",102,3,38,25,27,9
"Suministro de electricidad, gas y agua (005)",8,,5,2,1,
"Construcción (006)",156,,53,61,35,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",492,12,152,181,109,38
"Venta, mant.y rep. veh.autom.y motoc. (008)",14,1,5,6,2,
"Comercio al por mayor (009)",27,,5,9,11,2
"Comercio al por menor (010)",451,11,142,166,96,36
"Hoteles y restaurantes (011)",138,7,46,48,32,5
"Trans., almac. y comunicaciones (012)",102,,43,39,19,1
"Intermediación financiera (013)",1,,,1,,
"Activid.inmobil., empres. y alquileres (014)",37,,10,15,11,1
"Admin.pub. y defensa; p. segur.soc afil (015)",132,,36,52,43,1
"Enseñanza (016)",579,,109,275,192,3
"Servicios sociales y de salud (017)",77,,30,40,7,
"Otras activ. serv.comun.soc y personales (018)",44,1,16,15,10,2
"Hogares privados con servicio doméstico (019)",124,2,44,43,29,6
"Actividad economica no especificada (021)",229,,74,71,52,32
"Desocupado (022)",473,16,229,147,69,12
"Hombres (023)",7440,151,2222,2683,1820,564
"Agric., ganadería, caza y silvicultura (024)",4515,128,1213,1477,1207,490
"Pesca (025)",5,1,3,,1,
"Explotación de minas y canteras (026)",1230,,477,563,186,4
"Industrias manufactureras (027)",82,3,32,20,18,9
"Suministro de electricidad, gas y agua (028)",6,,3,2,1,
"Construcción (029)",153,,51,60,35,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",268,8,84,95,58,23
"Venta, mant.y rep. veh.autom.y motoc. (031)",11,1,5,4,1,
"Comercio al por mayor (032)",12,,2,3,6,1
"Comercio al por menor (033)",245,7,77,88,51,22
"Hoteles y restaurantes (034)",32,2,9,10,10,1
"Trans., almac. y comunicaciones (035)",99,,40,39,19,1
"Intermediación financiera (036)",1,,,1,,
"Activid.inmobil., empres. y alquileres (037)",32,,6,14,11,1
"Admin.pub. y defensa; p. segur.soc afil (038)",107,,27,40,39,1
"Enseñanza (039)",374,,57,170,144,3
"Servicios sociales y de salud (040)",41,,13,22,6,
"Otras activ. serv.comun.soc y personales (041)",20,1,7,9,3,
