"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LA CONVENCION (000)",63455,52294,4544,2302,4315
"Agric., ganadería, caza y silvicultura (001)",38643,36131,2103,337,72
"Pesca (002)",25,16,4,3,2
"Explotación de minas y canteras (003)",374,16,6,21,331
"Industrias manufactureras (004)",1595,1303,135,105,52
"Suministro de electricidad, gas y agua (005)",113,8,9,75,21
"Construcción (006)",2754,1272,555,482,445
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6024,5729,229,58,8
"Venta, mant.y rep. veh.autom y motoc. (008)",509,452,44,7,6
"Comercio al por mayor (009)",265,233,12,18,2
"Comercio al por menor (010)",5250,5044,173,33,
"Hoteles y restaurantes (011)",2004,1834,130,29,11
"Trans., almac. y comunicaciones (012)",1931,1584,160,118,69
"Intermediación financiera (013)",96,31,16,37,12
"Activid.inmobil., empres. y alquileres (014)",828,428,122,152,126
"Admin.pub. y defensa; p. segur soc.afil (015)",2311,,,,2311
"Enseñanza (016)",2554,670,833,721,330
"Servicios sociales y de salud (017)",668,191,22,17,438
"Otras activ. serv.comun.soc y personales (018)",574,431,75,47,21
"Hogares privados con servicio doméstico (019)",951,951,,,
"Actividad economica no especificada (021)",2010,1699,145,100,66
"Hombres (022)",46938,38453,3332,1705,3448
"Agric., ganadería, caza y silvicultura (023)",32340,30374,1655,251,60
"Pesca (024)",24,16,4,2,2
"Explotación de minas y canteras (025)",372,16,6,20,330
"Industrias manufactureras (026)",1313,1057,117,90,49
"Suministro de electricidad, gas y agua (027)",110,8,8,73,21
"Construcción (028)",2656,1249,533,457,417
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2458,2260,148,43,7
"Venta, mant.y rep. veh.autom y motoc. (030)",449,397,39,7,6
"Comercio al por mayor (031)",143,117,12,13,1
"Comercio al por menor (032)",1866,1746,97,23,
"Hoteles y restaurantes (033)",402,353,30,14,5
"Trans., almac. y comunicaciones (034)",1773,1463,139,106,65
"Intermediación financiera (035)",65,20,11,27,7
"Activid.inmobil., empres. y alquileres (036)",624,302,88,130,104
"Admin.pub. y defensa; p. segur soc.afil (037)",1956,,,,1956
"Enseñanza (038)",1279,307,426,372,174
"Servicios sociales y de salud (039)",286,92,6,9,179
"Otras activ. serv.comun.soc y personales (040)",335,224,57,35,19
