"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SATIPO (000)",70150,62832,3065,1451,2802
"Agric., ganadería, caza y silvicultura (001)",48049,46561,1286,153,49
"Pesca (002)",18,18,,,
"Explotación de minas y canteras (003)",75,8,7,14,46
"Industrias manufactureras (004)",2027,1418,248,164,197
"Suministro de electricidad, gas y agua (005)",55,11,2,24,18
"Construcción (006)",1217,873,173,140,31
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5632,5370,196,42,24
"Venta, mant.y rep. veh.autom y motoc. (008)",663,601,37,7,18
"Comercio al por mayor (009)",277,240,20,11,6
"Comercio al por menor (010)",4692,4529,139,24,
"Hoteles y restaurantes (011)",2067,1915,89,22,41
"Trans., almac. y comunicaciones (012)",2735,2393,143,99,100
"Intermediación financiera (013)",51,11,17,19,4
"Activid.inmobil., empres. y alquileres (014)",1048,560,126,111,251
"Admin.pub. y defensa; p. segur soc.afil (015)",1154,,,,1154
"Enseñanza (016)",2373,791,604,588,390
"Servicios sociales y de salud (017)",576,134,26,9,407
"Otras activ. serv.comun.soc y personales (018)",640,475,97,25,43
"Hogares privados con servicio doméstico (019)",1058,1058,,,
"Actividad economica no especificada (021)",1375,1236,51,41,47
"Hombres (022)",53836,48563,2275,984,2014
"Agric., ganadería, caza y silvicultura (023)",41254,40024,1062,125,43
"Pesca (024)",15,15,,,
"Explotación de minas y canteras (025)",74,7,7,14,46
"Industrias manufactureras (026)",1652,1084,224,154,190
"Suministro de electricidad, gas y agua (027)",53,10,2,23,18
"Construcción (028)",1164,865,164,108,27
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2716,2529,130,37,20
"Venta, mant.y rep. veh.autom y motoc. (030)",570,511,35,7,17
"Comercio al por mayor (031)",154,130,10,11,3
"Comercio al por menor (032)",1992,1888,85,19,
"Hoteles y restaurantes (033)",562,467,42,13,40
"Trans., almac. y comunicaciones (034)",2604,2280,137,92,95
"Intermediación financiera (035)",28,7,10,9,2
"Activid.inmobil., empres. y alquileres (036)",785,382,87,79,237
"Admin.pub. y defensa; p. segur soc.afil (037)",831,,,,831
"Enseñanza (038)",1148,339,307,288,214
"Servicios sociales y de salud (039)",261,63,10,2,186
"Otras activ. serv.comun.soc y personales (040)",267,158,60,17,32
