"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CARHUAZ (000)",12182,71,3839,4483,1469,541,248,107,24,,1400
"Conviviente (001)",2856,25,986,1053,313,85,32,14,6,,342
"Separado(a) (002)",755,4,249,272,105,49,16,5,1,,54
"Casado(a) (003)",6213,25,2002,2423,778,298,138,61,10,,478
"Viudo(a) (004)",1485,11,445,548,186,67,41,17,6,,164
"Divorciado(a) (005)",60,,17,20,6,3,2,,,,12
"Soltero(a) (006)",813,6,140,167,81,39,19,10,1,,350
,,,,,,,,,,,
"URBANA (008)",4221,19,1179,1443,594,271,120,54,8,,533
"Conviviente (009)",1027,6,307,398,128,47,15,5,5,,116
"Separado(a) (010)",256,,69,94,43,22,9,2,,,17
"Casado(a) (011)",2104,8,623,721,329,154,62,31,2,,174
"Viudo(a) (012)",457,4,130,149,54,25,22,12,,,61
"Divorciado(a) (013)",24,,5,10,3,1,2,,,,3
"Soltero(a) (014)",353,1,45,71,37,22,10,4,1,,162
,,,,,,,,,,,
"RURAL (016)",7961,52,2660,3040,875,270,128,53,16,,867
"Conviviente (017)",1829,19,679,655,185,38,17,9,1,,226
"Separado(a) (018)",499,4,180,178,62,27,7,3,1,,37
"Casado(a) (019)",4109,17,1379,1702,449,144,76,30,8,,304
"Viudo(a) (020)",1028,7,315,399,132,42,19,5,6,,103
"Divorciado(a) (021)",36,,12,10,3,2,,,,,9
"Soltero(a) (022)",460,5,95,96,44,17,9,6,,,188
