"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia AYMARAES (000)",10586,10371,2531,936,978,914,1663,1381,1968,215
"Católica (001)",9225,9034,2216,818,861,804,1447,1210,1678,191
"Cristiana/Evangélica (002)",1004,985,235,83,85,73,162,124,223,19
"Otra (003)",226,224,49,23,19,22,35,29,47,2
"Ninguna (004)",131,128,31,12,13,15,19,18,20,3
,,,,,,,,,,
"URBANA (006)",4754,4625,1179,474,469,465,797,585,656,129
"Católica (007)",4233,4115,1046,423,425,412,709,525,575,118
"Cristiana/Evangélica (008)",394,385,102,37,31,43,60,42,70,9
"Otra (009)",79,78,19,8,7,6,17,13,8,1
"Ninguna (010)",48,47,12,6,6,4,11,5,3,1
,,,,,,,,,,
"RURAL (012)",5832,5746,1352,462,509,449,866,796,1312,86
"Católica (013)",4992,4919,1170,395,436,392,738,685,1103,73
"Cristiana/Evangélica (014)",610,600,133,46,54,30,102,82,153,10
"Otra (015)",147,146,30,15,12,16,18,16,39,1
"Ninguna (016)",83,81,19,6,7,11,8,13,17,2
