"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",19761,5835,859,8050,3512,296,588,165,456
"Quechua (001)",17956,5463,720,7501,3196,234,413,122,307
"Aymara (002)",16,8,5,3,,,,,
"Ashaninca (003)",1,,1,,,,,,
"Otra lengua nativa (004)",2,,,,2,,,,
"Castellano (005)",1709,291,133,542,314,62,175,43,149
"Es sordomudo/a (007)",77,73,,4,,,,,
"Hombres (009)",9531,2043,435,4153,1994,148,341,113,304
"Quechua (010)",8607,1860,362,3870,1825,120,255,87,228
"Aymara (011)",6,3,1,2,,,,,
"Ashaninca (012)",1,,1,,,,,,
"Castellano (014)",873,139,71,278,169,28,86,26,76
"Es sordomudo/a (016)",44,41,,3,,,,,
"Mujeres (018)",10230,3792,424,3897,1518,148,247,52,152
"Quechua (019)",9349,3603,358,3631,1371,114,158,35,79
"Aymara (020)",10,5,4,1,,,,,
"Otra lengua nativa (022)",2,,,,2,,,,
"Castellano (023)",836,152,62,264,145,34,89,17,73
"Es sordomudo/a (025)",33,32,,1,,,,,
,,,,,,,,,
"URBANA (027)",3163,468,109,965,742,149,339,95,296
"Quechua (028)",2096,325,36,661,543,97,197,62,175
"Aymara (029)",2,1,1,,,,,,
"Castellano (032)",1061,138,72,304,199,52,142,33,121
"Es sordomudo/a (034)",4,4,,,,,,,
"Hombres (036)",1551,161,61,446,391,65,176,62,189
"Quechua (037)",1015,89,19,296,284,42,114,42,129
"Castellano (041)",532,68,42,150,107,23,62,20,60
"Es sordomudo/a (043)",4,4,,,,,,,
"Mujeres (045)",1612,307,48,519,351,84,163,33,107
"Quechua (046)",1081,236,17,365,259,55,83,20,46
"Aymara (047)",2,1,1,,,,,,
"Castellano (050)",529,70,30,154,92,29,80,13,61
,,,,,,,,,
"RURAL (054)",16598,5367,750,7085,2770,147,249,70,160
"Quechua (055)",15860,5138,684,6840,2653,137,216,60,132
"Aymara (056)",14,7,4,3,,,,,
"Ashaninca (057)",1,,1,,,,,,
"Otra lengua nativa (058)",2,,,,2,,,,
"Castellano (059)",648,153,61,238,115,10,33,10,28
"Es sordomudo/a (061)",73,69,,4,,,,,
"Hombres (063)",7980,1882,374,3707,1603,83,165,51,115
"Quechua (064)",7592,1771,343,3574,1541,78,141,45,99
"Aymara (065)",6,3,1,2,,,,,
"Ashaninca (066)",1,,1,,,,,,
"Castellano (068)",341,71,29,128,62,5,24,6,16
"Es sordomudo/a (070)",40,37,,3,,,,,
"Mujeres (072)",8618,3485,376,3378,1167,64,84,19,45
"Quechua (073)",8268,3367,341,3266,1112,59,75,15,33
"Aymara (074)",8,4,3,1,,,,,
"Otra lengua nativa (076)",2,,,,2,,,,
"Castellano (077)",307,82,32,110,53,5,9,4,12
"Es sordomudo/a (079)",33,32,,1,,,,,
