"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia FERREÑAFE (000)",82755,20784,24128,17718,14204,5921
"Hombres (001)",40850,10631,11957,8273,6990,2999
"Mujeres (002)",41905,10153,12171,9445,7214,2922
"PEA (003)",30094,714,9762,10354,7679,1585
"Hombres (004)",22230,459,7218,7399,5869,1285
"Mujeres (005)",7864,255,2544,2955,1810,300
"Ocupada (006)",27955,659,8713,9771,7303,1509
"Hombres (007)",20603,420,6496,6950,5526,1211
"Mujeres (008)",7352,239,2217,2821,1777,298
"Desocupada (009)",2139,55,1049,583,376,76
"Hombres (010)",1627,39,722,449,343,74
"Mujeres (011)",512,16,327,134,33,2
"No PEA (012)",52661,20070,14366,7364,6525,4336
"Hombres (013)",18620,10172,4739,874,1121,1714
"Mujeres (014)",34041,9898,9627,6490,5404,2622
,,,,,,
"URBANA (018)",45709,10109,13278,10273,8425,3624
"Hombres (019)",22214,5138,6481,4633,4132,1830
"Mujeres (020)",23495,4971,6797,5640,4293,1794
"PEA (021)",17598,231,5404,6363,4796,804
"Hombres (022)",12407,166,3789,4275,3534,643
"Mujeres (023)",5191,65,1615,2088,1262,161
"Ocupada (024)",16133,202,4660,5983,4532,756
"Hombres (025)",11363,145,3307,4012,3302,597
"Mujeres (026)",4770,57,1353,1971,1230,159
"Desocupada (027)",1465,29,744,380,264,48
"Hombres (028)",1044,21,482,263,232,46
"Mujeres (029)",421,8,262,117,32,2
"No PEA (030)",28111,9878,7874,3910,3629,2820
"Hombres (031)",9807,4972,2692,358,598,1187
"Mujeres (032)",18304,4906,5182,3552,3031,1633
,,,,,,
"RURAL (036)",37046,10675,10850,7445,5779,2297
"Hombres (037)",18636,5493,5476,3640,2858,1169
"Mujeres (038)",18410,5182,5374,3805,2921,1128
"PEA (039)",12496,483,4358,3991,2883,781
"Hombres (040)",9823,293,3429,3124,2335,642
"Mujeres (041)",2673,190,929,867,548,139
"Ocupada (042)",11822,457,4053,3788,2771,753
"Hombres (043)",9240,275,3189,2938,2224,614
"Mujeres (044)",2582,182,864,850,547,139
"Desocupada (045)",674,26,305,203,112,28
"Hombres (046)",583,18,240,186,111,28
"Mujeres (047)",91,8,65,17,1,
"No PEA (048)",24550,10192,6492,3454,2896,1516
"Hombres (049)",8813,5200,2047,516,523,527
"Mujeres (050)",15737,4992,4445,2938,2373,989
