"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MARISCAL LUZURIAGA (000)",23292,12282,1925,339,8755
"Menos de 1 año (001)",480,313,24,9,134
"De 1 a 14 años (002)",8538,6125,759,213,1442
"De 15 a 29 años (003)",5556,2444,280,42,2792
"De 30 a 44 años (004)",3645,1527,496,35,1591
"De 45 a 64 años (005)",3167,1242,295,29,1603
"De 65 y mas años (006)",1906,631,71,11,1193
"Hombres (008)",11416,5679,1005,201,4537
"Menos de 1 año (009)",241,154,15,6,66
"De 1 a 14 años (010)",4305,3113,381,112,699
"De 15 a 29 años (011)",2792,1062,123,30,1578
"De 30 a 44 años (012)",1776,574,272,28,905
"De 45 a 64 años (013)",1476,489,170,21,798
"De 65 y mas años (014)",826,287,44,4,491
"Mujeres (016)",11876,6603,920,138,4218
"Menos de 1 año (017)",239,159,9,3,68
"De 1 a 14 años (018)",4233,3012,378,101,743
"De 15 a 29 años (019)",2764,1382,157,12,1214
"De 30 a 44 años (020)",1869,953,224,7,686
"De 45 a 64 años (021)",1691,753,125,8,805
"De 65 y mas años (022)",1080,344,27,7,702
,,,,,
"URBANA (024)",2871,855,821,64,1132
"Menos de 1 año (025)",45,20,14,,11
"De 1 a 14 años (026)",869,404,267,9,189
"De 15 a 29 años (027)",670,167,125,16,362
"De 30 a 44 años (028)",616,124,240,18,235
"De 45 a 64 años (029)",435,85,139,17,194
"De 65 y mas años (030)",236,55,36,4,141
"Hombres (032)",1448,419,411,44,575
"Menos de 1 año (033)",27,10,10,,7
"De 1 a 14 años (034)",443,219,133,3,88
"De 15 a 29 años (035)",334,75,50,13,196
"De 30 a 44 años (036)",324,58,123,14,130
"De 45 a 64 años (037)",218,32,73,12,101
"De 65 y mas años (038)",102,25,22,2,53
"Mujeres (040)",1423,436,410,20,557
"Menos de 1 año (041)",18,10,4,,4
"De 1 a 14 años (042)",426,185,134,6,101
"De 15 a 29 años (043)",336,92,75,3,166
"De 30 a 44 años (044)",292,66,117,4,105
"De 45 a 64 años (045)",217,53,66,5,93
"De 65 y mas años (046)",134,30,14,2,88
,,,,,
"RURAL (048)",20421,11427,1104,275,7623
"Menos de 1 año (049)",435,293,10,9,123
"De 1 a 14 años (050)",7669,5721,492,204,1253
"De 15 a 29 años (051)",4886,2277,155,26,2430
"De 30 a 44 años (052)",3029,1403,256,17,1356
"De 45 a 64 años (053)",2732,1157,156,12,1409
"De 65 y mas años (054)",1670,576,35,7,1052
"Hombres (056)",9968,5260,594,157,3962
"Menos de 1 año (057)",214,144,5,6,59
"De 1 a 14 años (058)",3862,2894,248,109,611
"De 15 a 29 años (059)",2458,987,73,17,1382
"De 30 a 44 años (060)",1452,516,149,14,775
"De 45 a 64 años (061)",1258,457,97,9,697
"De 65 y mas años (062)",724,262,22,2,438
"Mujeres (064)",10453,6167,510,118,3661
"Menos de 1 año (065)",221,149,5,3,64
"De 1 a 14 años (066)",3807,2827,244,95,642
"De 15 a 29 años (067)",2428,1290,82,9,1048
"De 30 a 44 años (068)",1577,887,107,3,581
"De 45 a 64 años (069)",1474,700,59,3,712
"De 65 y mas años (070)",946,314,13,5,614
