"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CASMA (000)",42368,810,11893,11361,8760,6556,2988
"Hombres (001)",21724,433,6171,5846,4373,3322,1579
"Mujeres (002)",20644,377,5722,5515,4387,3234,1409
"Viviendas particulares (003)",42100,809,11879,11285,8686,6510,2931
"Hombres (004)",21525,432,6165,5790,4312,3290,1536
"Mujeres (005)",20575,377,5714,5495,4374,3220,1395
"Viviendas colectivas (006)",234,,10,71,62,36,55
"Hombres (007)",175,,3,54,54,23,41
"Mujeres (008)",59,,7,17,8,13,14
"Otro tipo (009)",34,1,4,5,12,10,2
"Hombres (010)",24,1,3,2,7,9,2
"Mujeres (011)",10,,1,3,5,1,
,,,,,,,
"URBANA (012)",29458,558,8018,7940,6317,4627,1998
"Hombres (013)",14883,284,4165,3981,3095,2317,1041
"Mujeres (014)",14575,274,3853,3959,3222,2310,957
"Viviendas particulares (015)",29251,557,8004,7895,6265,4588,1942
"Hombres (016)",14743,283,4159,3955,3055,2292,999
"Mujeres (017)",14508,274,3845,3940,3210,2296,943
"Viviendas colectivas (018)",179,,10,42,41,31,55
"Hombres (019)",120,,3,25,33,18,41
"Mujeres (020)",59,,7,17,8,13,14
"Otro tipo (021)",28,1,4,3,11,8,1
"Hombres (022)",20,1,3,1,7,7,1
"Mujeres (023)",8,,1,2,4,1,
,,,,,,,
"RURAL (024)",12910,252,3875,3421,2443,1929,990
"Hombres (025)",6841,149,2006,1865,1278,1005,538
"Mujeres (026)",6069,103,1869,1556,1165,924,452
"Viviendas particulares (027)",12849,252,3875,3390,2421,1922,989
"Hombres (028)",6782,149,2006,1835,1257,998,537
"Mujeres (029)",6067,103,1869,1555,1164,924,452
"Viviendas colectivas (030)",55,,,29,21,5,
"Hombres (031)",55,,,29,21,5,
"Otro tipo (033)",6,,,2,1,2,1
"Hombres (034)",4,,,1,,2,1
"Mujeres (035)",2,,,1,1,,
