"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BARRANCA (000)",50480,32457,5848,4988,7187
"Empleado (001)",12136,4449,1542,2256,3889
"Obrero (002)",15123,6536,2796,2558,3233
"Trabajador independiente (003)",18974,17809,1165,,
"Empleador o patrono (004)",1033,720,163,105,45
"Trabajador familiar no remunerado (005)",2064,1793,182,69,20
"Trabajador del hogar (006)",1150,1150,,,
"De 06 a 14 años (008)",426,325,53,37,11
"Empleado (009)",46,35,8,2,1
"Obrero (010)",101,51,25,15,10
"Trabajador independiente (011)",86,78,8,,
"Trabajador familiar no remunerado (013)",177,145,12,20,
"Trabajador del hogar (014)",16,16,,,
"De 15 a 29 años (016)",16351,9991,2328,1734,2298
"Empleado (017)",4315,2039,653,700,923
"Obrero (018)",5872,2389,1153,978,1352
"Trabajador independiente (019)",4601,4215,386,,
"Empleador o patrono (020)",216,130,42,30,14
"Trabajador familiar no remunerado (021)",807,678,94,26,9
"Trabajador del hogar (022)",540,540,,,
"De 30 a 44 años (024)",18347,11303,2033,2034,2977
"Empleado (025)",4957,1513,570,1063,1811
"Obrero (026)",5201,2186,954,920,1141
"Trabajador independiente (027)",6907,6508,399,,
"Empleador o patrono (028)",367,247,65,37,18
"Trabajador familiar no remunerado (029)",557,491,45,14,7
"Trabajador del hogar (030)",358,358,,,
"De 45 a 64 años (032)",13189,9023,1267,1096,1803
"Empleado (033)",2624,764,284,470,1106
"Obrero (034)",3502,1635,598,586,683
"Trabajador independiente (035)",6044,5730,314,,
"Empleador o patrono (036)",374,283,45,34,12
"Trabajador familiar no remunerado (037)",426,392,26,6,2
"Trabajador del hogar (038)",219,219,,,
"De 65 y más años (040)",2167,1815,167,87,98
"Empleado (041)",194,98,27,21,48
"Obrero (042)",447,275,66,59,47
"Trabajador independiente (043)",1336,1278,58,,
"Empleador o patrono (044)",76,60,11,4,1
"Trabajador familiar no remunerado (045)",97,87,5,3,2
"Trabajador del hogar (046)",17,17,,,
,,,,,
"URBANA (048)",43030,27531,4636,4474,6389
"Empleado (049)",11732,4245,1486,2208,3793
"Obrero (050)",10481,3956,1873,2118,2534
"Trabajador independiente (051)",17258,16250,1008,,
"Empleador o patrono (052)",861,588,134,96,43
