"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PALPA (000)",3751,74,1403,1121,385,152,68,17,1,,530
"Catolica (001)",3377,65,1247,1023,359,141,59,15,1,,467
"Cristiana / Evangelica (002)",297,7,127,79,21,7,7,2,,,47
"Otra (003)",44,,14,13,3,1,2,,,,11
"Ninguna (004)",33,2,15,6,2,3,,,,,5
,,,,,,,,,,,
"URBANA (006)",2526,40,870,779,278,113,51,14,1,,380
"Catolica (007)",2264,34,763,708,263,105,45,12,1,,333
"Cristiana / Evangelica (008)",196,4,81,56,11,4,4,2,,,34
"Otra (009)",38,,12,11,3,1,2,,,,9
"Ninguna (010)",28,2,14,4,1,3,,,,,4
,,,,,,,,,,,
"RURAL (012)",1225,34,533,342,107,39,17,3,,,150
"Catolica (013)",1113,31,484,315,96,36,14,3,,,134
"Cristiana / Evangelica (014)",101,3,46,23,10,3,3,,,,13
"Otra (015)",6,,2,2,,,,,,,2
"Ninguna (016)",5,,1,2,1,,,,,,1
