"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA",,,,,,,,,
"Hogares (001)",10087,314,155,101,52,35,43,61,9326
"Ocupantes presentes (002)",52872,1754,842,495,227,200,243,431,48680
"Casa independiente",,,,,,,,,
"Hogares (004)",6056,221,109,72,39,27,32,46,5510
"Ocupantes presentes (005)",32623,1274,633,314,163,140,182,350,29567
"Departamento en edificio",,,,,,,,,
"Hogares (007)",2,,,,,,,,2
"Ocupantes presentes (008)",7,,,,,,,,7
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",121,6,3,2,,,1,1,108
"Ocupantes presentes (011)",386,19,8,6,,,6,5,342
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",8,1,,,,,,,7
"Ocupantes presentes (014)",30,1,,,,,,,29
"Choza o cabaña",,,,,,,,,
"Hogares (016)",3867,86,43,27,12,8,10,14,3667
"Ocupantes presentes (017)",19681,460,201,175,58,60,55,76,18596
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",22,,,,1,,,,21
"Ocupantes presentes (020)",91,,,,6,,,,85
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",8,,,,,,,,8
"Ocupantes presentes (023)",47,,,,,,,,47
"Otro tipo",,,,,,,,,
"Hogares (025)",3,,,,,,,,3
"Ocupantes presentes (026)",7,,,,,,,,7
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",2908,153,69,47,25,23,21,38,2532
"Ocupantes presentes (029)",15007,849,391,190,114,119,122,299,12923
"Casa independiente",,,,,,,,,
"Hogares (031)",2747,146,66,45,24,23,20,37,2386
"Ocupantes presentes (032)",14466,829,383,184,108,119,116,294,12433
"Departamento en edificio",,,,,,,,,
"Hogares (034)",2,,,,,,,,2
"Ocupantes presentes (035)",7,,,,,,,,7
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",121,6,3,2,,,1,1,108
"Ocupantes presentes (038)",386,19,8,6,,,6,5,342
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",8,1,,,,,,,7
"Ocupantes presentes (041)",30,1,,,,,,,29
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",22,,,,1,,,,21
"Ocupantes presentes (047)",91,,,,6,,,,85
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",6,,,,,,,,6
"Ocupantes presentes (050)",22,,,,,,,,22
"Otro tipo",,,,,,,,,
"Hogares (052)",2,,,,,,,,2
"Ocupantes presentes (053)",5,,,,,,,,5
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",7179,161,86,54,27,12,22,23,6794
"Ocupantes presentes (056)",37865,905,451,305,113,81,121,132,35757
"Casa independiente",,,,,,,,,
"Hogares (058)",3309,75,43,27,15,4,12,9,3124
"Ocupantes presentes (059)",18157,445,250,130,55,21,66,56,17134
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",3867,86,43,27,12,8,10,14,3667
"Ocupantes presentes (071)",19681,460,201,175,58,60,55,76,18596
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",2,,,,,,,,2
"Ocupantes presentes (077)",25,,,,,,,,25
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",2,,,,,,,,2
