"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PARURO (000)",30753,577,11495,5655,5465,4785,2776
"Casa independiente (001)",27092,493,9909,4964,4858,4334,2534
"Vivienda en casa de vecindad (004)",68,1,26,12,16,4,9
"Choza o cabaña (005)",3572,81,1557,675,586,441,232
"Local no destinado para hab.humana (007)",18,2,3,4,4,4,1
"Otro tipo (008)",3,,,,1,2,
,,,,,,,
"URBANA (009)",10445,169,3556,1973,1953,1704,1090
"Casa independiente (010)",10362,167,3528,1957,1933,1697,1080
"Vivienda en casa de vecindad (013)",68,1,26,12,16,4,9
"Local no destinado para hab.humana (016)",14,1,2,4,3,3,1
"Otro tipo (017)",1,,,,1,,
,,,,,,,
"RURAL (018)",20308,408,7939,3682,3512,3081,1686
"Casa independiente (019)",16730,326,6381,3007,2925,2637,1454
"Choza o cabaña (023)",3572,81,1557,675,586,441,232
"Local no destinado para hab.humana (025)",4,1,1,,1,1,
"Otro tipo (026)",2,,,,,2,
