"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia SAN MIGUEL (000)",33632,13405,146,908,17916,549,17,137,2,552
"Hombres (001)",11009,7189,97,607,2484,270,12,76,2,272
"Mujeres (002)",22623,6216,49,301,15432,279,5,61,,280
"De 06 a 14 años (003)",10902,10329,,,332,100,,17,,124
"Hombres (004)",5535,5366,,,72,43,,10,,44
"Mujeres (005)",5367,4963,,,260,57,,7,,80
"De 15 a 29 años (006)",8601,2996,3,150,5223,,4,47,2,176
"Hombres (007)",2755,1781,2,96,756,,2,24,2,92
"Mujeres (008)",5846,1215,1,54,4467,,2,23,,84
"De 30 a 44 años (009)",5448,57,8,175,5083,,5,25,,95
"Hombres (010)",806,31,4,108,590,,4,16,,53
"Mujeres (011)",4642,26,4,67,4493,,1,9,,42
"De 45 a 64 años (012)",4936,18,37,212,4545,14,6,24,,80
"Hombres (013)",811,10,18,143,566,8,4,15,,47
"Mujeres (014)",4125,8,19,69,3979,6,2,9,,33
"De 65 y más años (015)",3745,5,98,371,2733,435,2,24,,77
"Hombres (016)",1102,1,73,260,500,219,2,11,,36
"Mujeres (017)",2643,4,25,111,2233,216,,13,,41
,,,,,,,,,,
"AREA URBANA (018)",4863,2214,74,132,2258,60,,13,1,111
"Hombres (019)",1813,1160,44,88,420,25,,11,1,64
"Mujeres (020)",3050,1054,30,44,1838,35,,2,,47
"De 06 a 14 años (021)",1587,1536,,,36,8,,,,7
"Hombres (022)",800,783,,,13,2,,,,2
"Mujeres (023)",787,753,,,23,6,,,,5
"De 15 a 29 años (024)",1274,659,,20,555,,,2,1,37
"Hombres (025)",505,368,,13,95,,,2,1,26
"Mujeres (026)",769,291,,7,460,,,,,11
"De 30 a 44 años (027)",769,11,2,22,710,,,5,,19
"Hombres (028)",136,5,1,12,104,,,4,,10
"Mujeres (029)",633,6,1,10,606,,,1,,9
"De 45 a 64 años (030)",658,6,25,36,566,,,2,,23
"Hombres (031)",171,4,12,28,112,,,2,,13
"Mujeres (032)",487,2,13,8,454,,,,,10
"De 65 y más años (033)",575,2,47,54,391,52,,4,,25
"Hombres (034)",201,,31,35,96,23,,3,,13
"Mujeres (035)",374,2,16,19,295,29,,1,,12
,,,,,,,,,,
"AREA RURAL (036)",28769,11191,72,776,15658,489,17,124,1,441
"Hombres (037)",9196,6029,53,519,2064,245,12,65,1,208
"Mujeres (038)",19573,5162,19,257,13594,244,5,59,,233
"De 06 a 14 años (039)",9315,8793,,,296,92,,17,,117
"Hombres (040)",4735,4583,,,59,41,,10,,42
"Mujeres (041)",4580,4210,,,237,51,,7,,75
"De 15 a 29 años (042)",7327,2337,3,130,4668,,4,45,1,139
"Hombres (043)",2250,1413,2,83,661,,2,22,1,66
"Mujeres (044)",5077,924,1,47,4007,,2,23,,73
"De 30 a 44 años (045)",4679,46,6,153,4373,,5,20,,76
"Hombres (046)",670,26,3,96,486,,4,12,,43
"Mujeres (047)",4009,20,3,57,3887,,1,8,,33
"De 45 a 64 años (048)",4278,12,12,176,3979,14,6,22,,57
"Hombres (049)",640,6,6,115,454,8,4,13,,34
"Mujeres (050)",3638,6,6,61,3525,6,2,9,,23
"De 65 y más años (051)",3170,3,51,317,2342,383,2,20,,52
"Hombres (052)",901,1,42,225,404,196,2,8,,23
"Mujeres (053)",2269,2,9,92,1938,187,,12,,29
